#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -1.250e+02    4.9679320e-01  3.0000000e-03
  -1.230e+02    4.9108120e-01  3.0000000e-03
  -1.210e+02    5.0150020e-01  3.0000000e-03
  -1.190e+02    4.9972440e-01  3.0000000e-03
  -1.170e+02    4.9099000e-01  3.0000000e-03
  -1.150e+02    4.9546320e-01  3.0000000e-03
  -1.130e+02    4.9007410e-01  3.0000000e-03
  -1.110e+02    4.7808290e-01  3.0000000e-03
  -1.090e+02    4.7806920e-01  3.0000000e-03
  -1.070e+02    4.8473340e-01  3.0000000e-03
  -1.050e+02    4.9616660e-01  3.0000000e-03
  -1.030e+02    4.9845860e-01  3.0000000e-03
  -1.010e+02    5.0945010e-01  3.0000000e-03
  -9.900e+01    5.0930510e-01  3.0000000e-03
  -9.700e+01    5.0762920e-01  3.0000000e-03
  -9.500e+01    5.0664930e-01  3.0000000e-03
  -9.300e+01    5.0661190e-01  3.0000000e-03
  -9.100e+01    5.0946690e-01  3.0000000e-03
  -8.900e+01    5.0849710e-01  3.0000000e-03
  -8.700e+01    5.1110150e-01  3.0000000e-03
  -8.500e+01    5.1618160e-01  3.0000000e-03
  -8.300e+01    5.1049360e-01  3.0000000e-03
  -8.100e+01    5.0809900e-01  3.0000000e-03
  -7.900e+01    5.0661030e-01  3.0000000e-03
  -7.700e+01    5.1512030e-01  3.0000000e-03
  -7.500e+01    5.0724180e-01  3.0000000e-03
  -7.300e+01    5.1151970e-01  3.0000000e-03
  -7.100e+01    5.0988710e-01  3.0000000e-03
  -6.900e+01    5.0867650e-01  3.0000000e-03
  -6.700e+01    5.1048610e-01  3.0000000e-03
  -6.500e+01    5.1005910e-01  3.0000000e-03
  -6.300e+01    5.1014700e-01  3.0000000e-03
  -6.100e+01    5.0667070e-01  3.0000000e-03
  -5.900e+01    5.0931000e-01  3.0000000e-03
  -5.700e+01    5.1383480e-01  3.0000000e-03
  -5.500e+01    5.1418200e-01  3.0000000e-03
  -5.300e+01    5.1564440e-01  3.0000000e-03
  -5.100e+01    5.1020460e-01  3.0000000e-03
  -4.900e+01    5.1206800e-01  3.0000000e-03
  -4.700e+01    5.1635760e-01  3.0000000e-03
  -4.500e+01    5.0973710e-01  3.0000000e-03
  -4.300e+01    5.0968350e-01  3.0000000e-03
  -4.100e+01    5.1241600e-01  3.0000000e-03
  -3.900e+01    5.0933130e-01  3.0000000e-03
