#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -1.250e+02    4.6338870e-01  3.0000000e-03
  -1.230e+02    4.7064430e-01  3.0000000e-03
  -1.210e+02    4.7791060e-01  3.0000000e-03
  -1.190e+02    4.7767580e-01  3.0000000e-03
  -1.170e+02    4.7870820e-01  3.0000000e-03
  -1.150e+02    4.7925280e-01  3.0000000e-03
  -1.130e+02    4.8090560e-01  3.0000000e-03
  -1.110e+02    4.8032790e-01  3.0000000e-03
  -1.090e+02    4.7960890e-01  3.0000000e-03
  -1.070e+02    4.7958140e-01  3.0000000e-03
  -1.050e+02    4.7922990e-01  3.0000000e-03
  -1.030e+02    4.7994320e-01  3.0000000e-03
  -1.010e+02    4.8086680e-01  3.0000000e-03
  -9.900e+01    4.8109020e-01  3.0000000e-03
  -9.700e+01    4.7911260e-01  3.0000000e-03
  -9.500e+01    4.7855320e-01  3.0000000e-03
  -9.300e+01    4.8140410e-01  3.0000000e-03
  -9.100e+01    4.8062080e-01  3.0000000e-03
  -8.900e+01    4.8243230e-01  3.0000000e-03
  -8.700e+01    4.7829770e-01  3.0000000e-03
  -8.500e+01    4.8126040e-01  3.0000000e-03
  -8.300e+01    4.8289620e-01  3.0000000e-03
  -8.100e+01    4.7914550e-01  3.0000000e-03
  -7.900e+01    4.8008770e-01  3.0000000e-03
  -7.700e+01    4.7875590e-01  3.0000000e-03
  -7.500e+01    4.7726620e-01  3.0000000e-03
  -7.300e+01    4.7877450e-01  3.0000000e-03
  -7.100e+01    4.7870730e-01  3.0000000e-03
  -6.900e+01    4.7652030e-01  3.0000000e-03
  -6.700e+01    4.7840270e-01  3.0000000e-03
  -6.500e+01    4.7756630e-01  3.0000000e-03
  -6.300e+01    4.7538800e-01  3.0000000e-03
  -6.100e+01    4.7255310e-01  3.0000000e-03
  -5.900e+01    4.7519410e-01  3.0000000e-03
  -5.700e+01    4.7324050e-01  3.0000000e-03
  -5.500e+01    4.7383650e-01  3.0000000e-03
  -5.300e+01    4.6975390e-01  3.0000000e-03
  -5.100e+01    4.6776130e-01  3.0000000e-03
  -4.900e+01    4.6492680e-01  3.0000000e-03
  -4.700e+01    4.5789200e-01  3.0000000e-03
  -4.500e+01    4.4604550e-01  3.0000000e-03
  -4.300e+01    4.3010540e-01  3.0000000e-03
  -4.100e+01    4.0897950e-01  3.0000000e-03
  -3.900e+01    3.5901390e-01  3.0000000e-03
  -3.700e+01    2.5600960e-01  3.0000000e-03
  -3.500e+01    6.3397380e-02  3.0000000e-03
  -3.300e+01    1.7833350e-02  3.0000000e-03
  -3.100e+01    2.2323950e-01  3.0000000e-03
  -2.900e+01    3.5246930e-01  3.0000000e-03
  -2.700e+01    4.0127140e-01  3.0000000e-03
  -2.500e+01    4.3405790e-01  3.0000000e-03
  -2.300e+01    4.4525060e-01  3.0000000e-03
  -2.100e+01    4.5955030e-01  3.0000000e-03
  -1.900e+01    4.6312500e-01  3.0000000e-03
  -1.700e+01    4.6486680e-01  3.0000000e-03
  -1.500e+01    4.6857260e-01  3.0000000e-03
  -1.300e+01    4.6792770e-01  3.0000000e-03
  -1.100e+01    4.7181940e-01  3.0000000e-03
  -9.000e+00    4.7074670e-01  3.0000000e-03
  -7.000e+00    4.7492480e-01  3.0000000e-03
  -5.000e+00    4.7576970e-01  3.0000000e-03
  -3.000e+00    4.8075650e-01  3.0000000e-03
  -1.000e+00    4.7936140e-01  3.0000000e-03
   1.000e+00    4.7570850e-01  3.0000000e-03
   3.000e+00    4.7580980e-01  3.0000000e-03
   5.000e+00    4.8002690e-01  3.0000000e-03
   7.000e+00    4.7782170e-01  3.0000000e-03
   9.000e+00    4.7839690e-01  3.0000000e-03
   1.100e+01    4.7711850e-01  3.0000000e-03
   1.300e+01    4.7849880e-01  3.0000000e-03
   1.500e+01    4.7666790e-01  3.0000000e-03
   1.700e+01    4.7680340e-01  3.0000000e-03
   1.900e+01    4.7899590e-01  3.0000000e-03
