#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -1.250e+02    4.4616100e-01  3.0000000e-03
  -1.230e+02    4.4907550e-01  3.0000000e-03
  -1.210e+02    4.4474590e-01  3.0000000e-03
  -1.190e+02    4.5108510e-01  3.0000000e-03
  -1.170e+02    4.5072710e-01  3.0000000e-03
  -1.150e+02    4.5129050e-01  3.0000000e-03
  -1.130e+02    4.5352530e-01  3.0000000e-03
  -1.110e+02    4.5450300e-01  3.0000000e-03
  -1.090e+02    4.5221400e-01  3.0000000e-03
  -1.070e+02    4.5383420e-01  3.0000000e-03
  -1.050e+02    4.5283760e-01  3.0000000e-03
  -1.030e+02    4.5222630e-01  3.0000000e-03
  -1.010e+02    4.5182210e-01  3.0000000e-03
  -9.900e+01    4.5160710e-01  3.0000000e-03
  -9.700e+01    4.5132210e-01  3.0000000e-03
  -9.500e+01    4.5394880e-01  3.0000000e-03
  -9.300e+01    4.5149100e-01  3.0000000e-03
  -9.100e+01    4.4909710e-01  3.0000000e-03
  -8.900e+01    4.5451080e-01  3.0000000e-03
  -8.700e+01    4.4531500e-01  3.0000000e-03
  -8.500e+01    4.5379950e-01  3.0000000e-03
  -8.300e+01    4.5160570e-01  3.0000000e-03
  -8.100e+01    4.5347040e-01  3.0000000e-03
  -7.900e+01    4.4876110e-01  3.0000000e-03
  -7.700e+01    4.5303110e-01  3.0000000e-03
  -7.500e+01    4.5079760e-01  3.0000000e-03
  -7.300e+01    4.5009990e-01  3.0000000e-03
  -7.100e+01    4.5065800e-01  3.0000000e-03
  -6.900e+01    4.5141030e-01  3.0000000e-03
  -6.700e+01    4.4920010e-01  3.0000000e-03
  -6.500e+01    4.5109020e-01  3.0000000e-03
  -6.300e+01    4.5038450e-01  3.0000000e-03
  -6.100e+01    4.5269730e-01  3.0000000e-03
  -5.900e+01    4.4864710e-01  3.0000000e-03
  -5.700e+01    4.4989570e-01  3.0000000e-03
  -5.500e+01    4.5768000e-01  3.0000000e-03
  -5.300e+01    4.5174700e-01  3.0000000e-03
  -5.100e+01    4.4884130e-01  3.0000000e-03
  -4.900e+01    4.5161150e-01  3.0000000e-03
  -4.700e+01    4.4883700e-01  3.0000000e-03
  -4.500e+01    4.4572190e-01  3.0000000e-03
  -4.300e+01    4.4949130e-01  3.0000000e-03
  -4.100e+01    4.5118370e-01  3.0000000e-03
  -3.900e+01    4.4822510e-01  3.0000000e-03
  -3.700e+01    4.4795610e-01  3.0000000e-03
  -3.500e+01    4.5225750e-01  3.0000000e-03
  -3.300e+01    4.4904950e-01  3.0000000e-03
  -3.100e+01    4.5322970e-01  3.0000000e-03
  -2.900e+01    4.4945550e-01  3.0000000e-03
  -2.700e+01    4.5445450e-01  3.0000000e-03
  -2.500e+01    4.4937710e-01  3.0000000e-03
  -2.300e+01    4.4984170e-01  3.0000000e-03
  -2.100e+01    4.5207920e-01  3.0000000e-03
  -1.900e+01    4.5041690e-01  3.0000000e-03
  -1.700e+01    4.5295890e-01  3.0000000e-03
  -1.500e+01    4.4830960e-01  3.0000000e-03
  -1.300e+01    4.4921440e-01  3.0000000e-03
  -1.100e+01    4.5069690e-01  3.0000000e-03
  -9.000e+00    4.5280290e-01  3.0000000e-03
  -7.000e+00    4.4983550e-01  3.0000000e-03
  -5.000e+00    4.4883780e-01  3.0000000e-03
  -3.000e+00    4.4406500e-01  3.0000000e-03
  -1.000e+00    4.5527350e-01  3.0000000e-03
   1.000e+00    4.4816530e-01  3.0000000e-03
   3.000e+00    4.4417010e-01  3.0000000e-03
   5.000e+00    4.4512600e-01  3.0000000e-03
   7.000e+00    4.3986320e-01  3.0000000e-03
   9.000e+00    4.3414910e-01  3.0000000e-03
   1.100e+01    4.4670280e-01  3.0000000e-03
   1.300e+01    4.4517820e-01  3.0000000e-03
   1.500e+01    4.4231740e-01  3.0000000e-03
   1.700e+01    4.4535540e-01  3.0000000e-03
   1.900e+01    4.4440810e-01  3.0000000e-03
   2.100e+01    4.4369120e-01  3.0000000e-03
   2.300e+01    4.4864760e-01  3.0000000e-03
   2.500e+01    4.4516000e-01  3.0000000e-03
   2.700e+01    4.4621400e-01  3.0000000e-03
   2.900e+01    4.4283840e-01  3.0000000e-03
   3.100e+01    4.4661310e-01  3.0000000e-03
   3.300e+01    4.4343000e-01  3.0000000e-03
   3.500e+01    4.4310650e-01  3.0000000e-03
   3.700e+01    4.4033490e-01  3.0000000e-03
   3.900e+01    4.4584200e-01  3.0000000e-03
   4.100e+01    4.4084680e-01  3.0000000e-03
   4.300e+01    4.4123150e-01  3.0000000e-03
   4.500e+01    4.4098630e-01  3.0000000e-03
   4.700e+01    4.3831860e-01  3.0000000e-03
   4.900e+01    4.3599400e-01  3.0000000e-03
   5.100e+01    4.2173920e-01  3.0000000e-03
   5.300e+01    4.1223250e-01  3.0000000e-03
   5.500e+01    4.0065940e-01  3.0000000e-03
   5.700e+01    3.7306330e-01  3.0000000e-03
   5.900e+01    3.1821990e-01  3.0000000e-03
   6.100e+01    2.0531440e-01  3.0000000e-03
   6.300e+01    1.9086590e-02  3.0000000e-03
   6.500e+01    5.6036940e-02  3.0000000e-03
   6.700e+01    2.2934880e-01  3.0000000e-03
   6.900e+01    3.2696280e-01  3.0000000e-03
   7.100e+01    3.7903360e-01  3.0000000e-03
   7.300e+01    4.0640470e-01  3.0000000e-03
   7.500e+01    4.1640000e-01  3.0000000e-03
   7.700e+01    4.2471920e-01  3.0000000e-03
   7.900e+01    4.3448370e-01  3.0000000e-03
   8.100e+01    4.3392100e-01  3.0000000e-03
   8.300e+01    4.3676360e-01  3.0000000e-03
   8.500e+01    4.4122830e-01  3.0000000e-03
   8.700e+01    4.4087090e-01  3.0000000e-03
   8.900e+01    4.4006050e-01  3.0000000e-03
   9.100e+01    4.5006490e-01  3.0000000e-03
   9.300e+01    4.4309780e-01  3.0000000e-03
   9.500e+01    4.4563430e-01  3.0000000e-03
   9.700e+01    4.4075300e-01  3.0000000e-03
   9.900e+01    4.4751810e-01  3.0000000e-03
   1.010e+02    4.4790330e-01  3.0000000e-03
   1.030e+02    4.4417040e-01  3.0000000e-03
   1.050e+02    4.4618860e-01  3.0000000e-03
   1.070e+02    4.4447720e-01  3.0000000e-03
   1.090e+02    4.4325490e-01  3.0000000e-03
   1.110e+02    4.4092570e-01  3.0000000e-03
   1.130e+02    4.3411710e-01  3.0000000e-03
   1.150e+02    4.2643230e-01  3.0000000e-03
   1.170e+02    4.2604460e-01  3.0000000e-03
   1.190e+02    4.4089730e-01  3.0000000e-03
   1.210e+02    4.3613860e-01  3.0000000e-03
   1.230e+02    4.4326330e-01  3.0000000e-03
   1.250e+02    4.4858720e-01  3.0000000e-03
