#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.7402180e-01  2.5000000e-03
  -6.125e+02    4.7492740e-01  2.5000000e-03
  -5.950e+02    4.7355630e-01  2.5000000e-03
  -5.775e+02    4.7011110e-01  2.5000000e-03
  -5.600e+02    4.7728550e-01  2.5000000e-03
  -5.425e+02    4.7269310e-01  2.5000000e-03
  -5.250e+02    4.7468600e-01  2.5000000e-03
  -5.075e+02    4.7002560e-01  2.5000000e-03
  -4.900e+02    4.7406870e-01  2.5000000e-03
  -4.725e+02    4.7445120e-01  2.5000000e-03
  -4.550e+02    4.7253670e-01  2.5000000e-03
  -4.375e+02    4.7243970e-01  2.5000000e-03
  -4.200e+02    4.7740180e-01  2.5000000e-03
  -4.025e+02    4.7263940e-01  2.5000000e-03
  -3.850e+02    4.7607900e-01  2.5000000e-03
  -3.675e+02    4.7000140e-01  2.5000000e-03
  -3.500e+02    4.7384630e-01  2.5000000e-03
  -3.325e+02    4.7755640e-01  2.5000000e-03
  -3.150e+02    4.7332500e-01  2.5000000e-03
  -2.975e+02    4.7335830e-01  2.5000000e-03
  -2.800e+02    4.7571630e-01  2.5000000e-03
  -2.625e+02    4.6982780e-01  2.5000000e-03
  -2.450e+02    4.6944560e-01  2.5000000e-03
  -2.275e+02    4.7019120e-01  2.5000000e-03
  -2.100e+02    4.6387700e-01  2.5000000e-03
  -1.925e+02    4.6607490e-01  2.5000000e-03
  -1.750e+02    4.6545190e-01  2.5000000e-03
  -1.575e+02    4.6106660e-01  2.5000000e-03
  -1.400e+02    4.5485410e-01  2.5000000e-03
  -1.225e+02    4.5467830e-01  2.5000000e-03
  -1.050e+02    4.4717170e-01  2.5000000e-03
  -8.750e+01    4.4334180e-01  2.5000000e-03
  -7.000e+01    4.2128850e-01  2.5000000e-03
  -5.250e+01    4.0961480e-01  2.5000000e-03
  -3.500e+01    3.6583750e-01  2.5000000e-03
  -1.750e+01    2.9334600e-01  2.5000000e-03
   0.000e+00    1.5743670e-01  2.5000000e-03
   1.750e+01    2.3713520e-02  2.5000000e-03
   3.500e+01    3.6209580e-03  2.5000000e-03
   5.250e+01    1.0427860e-01  2.5000000e-03
   7.000e+01    2.6124340e-01  2.5000000e-03
   8.750e+01    3.3964740e-01  2.5000000e-03
   1.050e+02    3.8388860e-01  2.5000000e-03
   1.225e+02    4.0536880e-01  2.5000000e-03
   1.400e+02    4.1359860e-01  2.5000000e-03
   1.575e+02    4.0936310e-01  2.5000000e-03
   1.750e+02    4.0689800e-01  2.5000000e-03
   1.925e+02    4.3042470e-01  2.5000000e-03
   2.100e+02    4.4934730e-01  2.5000000e-03
   2.275e+02    4.5734750e-01  2.5000000e-03
   2.450e+02    4.6251740e-01  2.5000000e-03
   2.625e+02    4.7169550e-01  2.5000000e-03
   2.800e+02    4.6628400e-01  2.5000000e-03
   2.975e+02    4.6602140e-01  2.5000000e-03
   3.150e+02    4.6706140e-01  2.5000000e-03
   3.325e+02    4.7002680e-01  2.5000000e-03
   3.500e+02    4.7239420e-01  2.5000000e-03
   3.675e+02    4.7116590e-01  2.5000000e-03
   3.850e+02    4.7029900e-01  2.5000000e-03
   4.025e+02    4.7409580e-01  2.5000000e-03
   4.200e+02    4.7197910e-01  2.5000000e-03
   4.375e+02    4.7166780e-01  2.5000000e-03
   4.550e+02    4.7251120e-01  2.5000000e-03
   4.725e+02    4.7177520e-01  2.5000000e-03
   4.900e+02    4.6848490e-01  2.5000000e-03
   5.075e+02    4.7402000e-01  2.5000000e-03
   5.250e+02    4.7024340e-01  2.5000000e-03
   5.425e+02    4.7229470e-01  2.5000000e-03
   5.600e+02    4.7159510e-01  2.5000000e-03
   5.775e+02    4.7334710e-01  2.5000000e-03
   5.950e+02    4.7344490e-01  2.5000000e-03
   6.125e+02    4.7408830e-01  2.5000000e-03
   6.300e+02    4.7476950e-01  2.5000000e-03
