#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.1154330e-03
  -6.300e+02    4.7713270e-01  3.1154330e-03
  -6.125e+02    4.7760230e-01  3.1154330e-03
  -5.950e+02    4.7502930e-01  3.1154330e-03
  -5.775e+02    4.7258950e-01  3.1154330e-03
  -5.600e+02    4.7756890e-01  3.1154330e-03
  -5.425e+02    4.7714940e-01  3.1154330e-03
  -5.250e+02    4.7410490e-01  3.1154330e-03
  -5.075e+02    4.7233630e-01  3.1154330e-03
  -4.900e+02    4.7354100e-01  3.1154330e-03
  -4.725e+02    4.6756550e-01  3.1154330e-03
  -4.550e+02    4.7004010e-01  3.1154330e-03
  -4.375e+02    4.6812970e-01  3.1154330e-03
  -4.200e+02    4.7246740e-01  3.1154330e-03
  -4.025e+02    4.6934930e-01  3.1154330e-03
  -3.850e+02    4.7462730e-01  3.1154330e-03
  -3.675e+02    4.7153560e-01  3.1154330e-03
  -3.500e+02    4.6753460e-01  3.1154330e-03
  -3.325e+02    4.7039450e-01  3.1154330e-03
  -3.150e+02    4.6799520e-01  3.1154330e-03
  -2.975e+02    4.6182550e-01  3.1154330e-03
  -2.800e+02    4.6378890e-01  3.1154330e-03
  -2.625e+02    4.6063430e-01  3.1154330e-03
  -2.450e+02    4.5571780e-01  3.1154330e-03
  -2.275e+02    4.4969840e-01  3.1154330e-03
  -2.100e+02    4.4924370e-01  3.1154330e-03
  -1.925e+02    4.4067550e-01  3.1154330e-03
  -1.750e+02    4.2766220e-01  3.1154330e-03
  -1.575e+02    4.0017090e-01  3.1154330e-03
  -1.400e+02    3.4820630e-01  3.1154330e-03
  -1.225e+02    2.5138130e-01  3.1154330e-03
  -1.050e+02    1.0445240e-01  3.1154330e-03
  -8.750e+01    5.0397460e-03  3.1154330e-03
  -7.000e+01    5.6312210e-02  3.1154330e-03
  -5.250e+01    2.0779460e-01  3.1154330e-03
  -3.500e+01    3.1723190e-01  3.1154330e-03
  -1.750e+01    3.7490410e-01  3.1154330e-03
   0.000e+00    4.0296290e-01  3.1154330e-03
   1.750e+01    4.1825420e-01  3.1154330e-03
   3.500e+01    4.3303270e-01  3.1154330e-03
   5.250e+01    4.2883500e-01  3.1154330e-03
   7.000e+01    4.1472080e-01  3.1154330e-03
   8.750e+01    4.1662000e-01  3.1154330e-03
   1.050e+02    4.4761890e-01  3.1154330e-03
   1.225e+02    4.5666560e-01  3.1154330e-03
   1.400e+02    4.5799280e-01  3.1154330e-03
   1.575e+02    4.6354110e-01  3.1154330e-03
   1.750e+02    4.6701980e-01  3.1154330e-03
   1.925e+02    4.7002090e-01  3.1154330e-03
   2.100e+02    4.7020580e-01  3.1154330e-03
   2.275e+02    4.7274940e-01  3.1154330e-03
   2.450e+02    4.6598900e-01  3.1154330e-03
   2.625e+02    4.7600660e-01  3.1154330e-03
   2.800e+02    4.7019580e-01  3.1154330e-03
   2.975e+02    4.7628870e-01  3.1154330e-03
   3.150e+02    4.6930780e-01  3.1154330e-03
   3.325e+02    4.7298040e-01  3.1154330e-03
   3.500e+02    4.7058750e-01  3.1154330e-03
   3.675e+02    4.7499410e-01  3.1154330e-03
   3.850e+02    4.7281640e-01  3.1154330e-03
   4.025e+02    4.7031650e-01  3.1154330e-03
   4.200e+02    4.7139260e-01  3.1154330e-03
   4.375e+02    4.7179380e-01  3.1154330e-03
   4.550e+02    4.7340690e-01  3.1154330e-03
   4.725e+02    4.7730940e-01  3.1154330e-03
   4.900e+02    4.6888300e-01  3.1154330e-03
   5.075e+02    4.7421080e-01  3.1154330e-03
   5.250e+02    4.7008430e-01  3.1154330e-03
   5.425e+02    4.7855560e-01  3.1154330e-03
   5.600e+02    4.7780580e-01  3.1154330e-03
   5.775e+02    4.7196220e-01  3.1154330e-03
   5.950e+02    4.7140350e-01  3.1154330e-03
   6.125e+02    4.7199730e-01  3.1154330e-03
   6.300e+02    4.7452710e-01  3.1154330e-03
