#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5517870e-03
  -6.300e+02    4.6745990e-01  2.5517870e-03
  -6.125e+02    4.6802380e-01  2.5517870e-03
  -5.950e+02    4.7068630e-01  2.5517870e-03
  -5.775e+02    4.6651350e-01  2.5517870e-03
  -5.600e+02    4.6994500e-01  2.5517870e-03
  -5.425e+02    4.6856990e-01  2.5517870e-03
  -5.250e+02    4.6130020e-01  2.5517870e-03
  -5.075e+02    4.6155900e-01  2.5517870e-03
  -4.900e+02    4.6859530e-01  2.5517870e-03
  -4.725e+02    4.6960010e-01  2.5517870e-03
  -4.550e+02    4.6519250e-01  2.5517870e-03
  -4.375e+02    4.6714690e-01  2.5517870e-03
  -4.200e+02    4.6735390e-01  2.5517870e-03
  -4.025e+02    4.6641640e-01  2.5517870e-03
  -3.850e+02    4.7021440e-01  2.5517870e-03
  -3.675e+02    4.7153680e-01  2.5517870e-03
  -3.500e+02    4.6552360e-01  2.5517870e-03
  -3.325e+02    4.6854560e-01  2.5517870e-03
  -3.150e+02    4.6803190e-01  2.5517870e-03
  -2.975e+02    4.6236330e-01  2.5517870e-03
  -2.800e+02    4.7027020e-01  2.5517870e-03
  -2.625e+02    4.6912210e-01  2.5517870e-03
  -2.450e+02    4.6840770e-01  2.5517870e-03
  -2.275e+02    4.6828870e-01  2.5517870e-03
  -2.100e+02    4.7265470e-01  2.5517870e-03
  -1.925e+02    4.6132300e-01  2.5517870e-03
  -1.750e+02    4.6835630e-01  2.5517870e-03
  -1.575e+02    4.6326280e-01  2.5517870e-03
  -1.400e+02    4.6767180e-01  2.5517870e-03
  -1.225e+02    4.5833680e-01  2.5517870e-03
  -1.050e+02    4.6310340e-01  2.5517870e-03
  -8.750e+01    4.5816970e-01  2.5517870e-03
  -7.000e+01    4.4810550e-01  2.5517870e-03
  -5.250e+01    4.4723360e-01  2.5517870e-03
  -3.500e+01    4.3129470e-01  2.5517870e-03
  -1.750e+01    4.2203650e-01  2.5517870e-03
   0.000e+00    4.0557590e-01  2.5517870e-03
   1.750e+01    3.7735220e-01  2.5517870e-03
   3.500e+01    3.1859360e-01  2.5517870e-03
   5.250e+01    2.0789120e-01  2.5517870e-03
   7.000e+01    3.4742440e-02  2.5517870e-03
   8.750e+01   -1.7688120e-02  2.5517870e-03
   1.050e+02    1.8251300e-02  2.5517870e-03
   1.225e+02    1.9290390e-01  2.5517870e-03
   1.400e+02    3.1467920e-01  2.5517870e-03
   1.575e+02    3.7523770e-01  2.5517870e-03
   1.750e+02    4.1644020e-01  2.5517870e-03
   1.925e+02    4.3290650e-01  2.5517870e-03
   2.100e+02    4.4461230e-01  2.5517870e-03
   2.275e+02    4.4652100e-01  2.5517870e-03
   2.450e+02    4.4862900e-01  2.5517870e-03
   2.625e+02    4.5026300e-01  2.5517870e-03
   2.800e+02    4.5171450e-01  2.5517870e-03
   2.975e+02    4.5566190e-01  2.5517870e-03
   3.150e+02    4.5840070e-01  2.5517870e-03
   3.325e+02    4.6791940e-01  2.5517870e-03
   3.500e+02    4.6834770e-01  2.5517870e-03
   3.675e+02    4.6603830e-01  2.5517870e-03
   3.850e+02    4.6861560e-01  2.5517870e-03
   4.025e+02    4.5965920e-01  2.5517870e-03
   4.200e+02    4.6172240e-01  2.5517870e-03
   4.375e+02    4.5112870e-01  2.5517870e-03
   4.550e+02    4.3921680e-01  2.5517870e-03
   4.725e+02    4.1678510e-01  2.5517870e-03
   4.900e+02    4.2552100e-01  2.5517870e-03
   5.075e+02    4.4927060e-01  2.5517870e-03
   5.250e+02    4.6214040e-01  2.5517870e-03
   5.425e+02    4.5832580e-01  2.5517870e-03
   5.600e+02    4.6346630e-01  2.5517870e-03
   5.775e+02    4.6171630e-01  2.5517870e-03
   5.950e+02    4.6832900e-01  2.5517870e-03
   6.125e+02    4.6991730e-01  2.5517870e-03
   6.300e+02    4.6687200e-01  2.5517870e-03
