#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.5061240e-01  2.5000000e-03
  -6.125e+02    4.4805450e-01  2.5000000e-03
  -5.950e+02    4.4859400e-01  2.5000000e-03
  -5.775e+02    4.5192230e-01  2.5000000e-03
  -5.600e+02    4.4807670e-01  2.5000000e-03
  -5.425e+02    4.5279130e-01  2.5000000e-03
  -5.250e+02    4.4752820e-01  2.5000000e-03
  -5.075e+02    4.5470850e-01  2.5000000e-03
  -4.900e+02    4.5101620e-01  2.5000000e-03
  -4.725e+02    4.5359210e-01  2.5000000e-03
  -4.550e+02    4.5014420e-01  2.5000000e-03
  -4.375e+02    4.5298490e-01  2.5000000e-03
  -4.200e+02    4.5107560e-01  2.5000000e-03
  -4.025e+02    4.5171410e-01  2.5000000e-03
  -3.850e+02    4.4882560e-01  2.5000000e-03
  -3.675e+02    4.4716060e-01  2.5000000e-03
  -3.500e+02    4.5028770e-01  2.5000000e-03
  -3.325e+02    4.4440260e-01  2.5000000e-03
  -3.150e+02    4.4684980e-01  2.5000000e-03
  -2.975e+02    4.5132040e-01  2.5000000e-03
  -2.800e+02    4.4999750e-01  2.5000000e-03
  -2.625e+02    4.4462090e-01  2.5000000e-03
  -2.450e+02    4.4601900e-01  2.5000000e-03
  -2.275e+02    4.4651270e-01  2.5000000e-03
  -2.100e+02    4.4687110e-01  2.5000000e-03
  -1.925e+02    4.4699520e-01  2.5000000e-03
  -1.750e+02    4.4506560e-01  2.5000000e-03
  -1.575e+02    4.4233570e-01  2.5000000e-03
  -1.400e+02    4.4011830e-01  2.5000000e-03
  -1.225e+02    4.3375430e-01  2.5000000e-03
  -1.050e+02    4.2978840e-01  2.5000000e-03
  -8.750e+01    4.2888270e-01  2.5000000e-03
  -7.000e+01    4.1939880e-01  2.5000000e-03
  -5.250e+01    4.1076970e-01  2.5000000e-03
  -3.500e+01    3.9513900e-01  2.5000000e-03
  -1.750e+01    3.5815920e-01  2.5000000e-03
   0.000e+00    3.0282520e-01  2.5000000e-03
   1.750e+01    1.9046930e-01  2.5000000e-03
   3.500e+01    3.5924460e-02  2.5000000e-03
   5.250e+01   -1.1887760e-02  2.5000000e-03
   7.000e+01    7.1983950e-02  2.5000000e-03
   8.750e+01    2.3274010e-01  2.5000000e-03
   1.050e+02    3.2457740e-01  2.5000000e-03
   1.225e+02    3.6904900e-01  2.5000000e-03
   1.400e+02    3.9808810e-01  2.5000000e-03
   1.575e+02    4.0740340e-01  2.5000000e-03
   1.750e+02    4.1840430e-01  2.5000000e-03
   1.925e+02    4.2455840e-01  2.5000000e-03
   2.100e+02    4.3017300e-01  2.5000000e-03
   2.275e+02    4.3494680e-01  2.5000000e-03
   2.450e+02    4.4194820e-01  2.5000000e-03
   2.625e+02    4.3826460e-01  2.5000000e-03
   2.800e+02    4.4187710e-01  2.5000000e-03
   2.975e+02    4.4095930e-01  2.5000000e-03
   3.150e+02    4.3915800e-01  2.5000000e-03
   3.325e+02    4.3888110e-01  2.5000000e-03
   3.500e+02    4.4130750e-01  2.5000000e-03
   3.675e+02    4.4430690e-01  2.5000000e-03
   3.850e+02    4.4614090e-01  2.5000000e-03
   4.025e+02    4.4529810e-01  2.5000000e-03
   4.200e+02    4.4984790e-01  2.5000000e-03
   4.375e+02    4.5424870e-01  2.5000000e-03
   4.550e+02    4.5127230e-01  2.5000000e-03
   4.725e+02    4.4557830e-01  2.5000000e-03
   4.900e+02    4.5120510e-01  2.5000000e-03
   5.075e+02    4.4716320e-01  2.5000000e-03
   5.250e+02    4.5207620e-01  2.5000000e-03
   5.425e+02    4.4930480e-01  2.5000000e-03
   5.600e+02    4.4751670e-01  2.5000000e-03
   5.775e+02    4.5069130e-01  2.5000000e-03
   5.950e+02    4.4925660e-01  2.5000000e-03
   6.125e+02    4.5171670e-01  2.5000000e-03
   6.300e+02    4.5075230e-01  2.5000000e-03
