#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.5281490e-01  2.5000000e-03
  -6.125e+02    4.5546870e-01  2.5000000e-03
  -5.950e+02    4.5409040e-01  2.5000000e-03
  -5.775e+02    4.5478130e-01  2.5000000e-03
  -5.600e+02    4.5778400e-01  2.5000000e-03
  -5.425e+02    4.5340910e-01  2.5000000e-03
  -5.250e+02    4.5505720e-01  2.5000000e-03
  -5.075e+02    4.5822280e-01  2.5000000e-03
  -4.900e+02    4.5606780e-01  2.5000000e-03
  -4.725e+02    4.5837710e-01  2.5000000e-03
  -4.550e+02    4.5242750e-01  2.5000000e-03
  -4.375e+02    4.5758580e-01  2.5000000e-03
  -4.200e+02    4.5397080e-01  2.5000000e-03
  -4.025e+02    4.5306530e-01  2.5000000e-03
  -3.850e+02    4.5627600e-01  2.5000000e-03
  -3.675e+02    4.5052130e-01  2.5000000e-03
  -3.500e+02    4.5283880e-01  2.5000000e-03
  -3.325e+02    4.5639670e-01  2.5000000e-03
  -3.150e+02    4.5325780e-01  2.5000000e-03
  -2.975e+02    4.5458420e-01  2.5000000e-03
  -2.800e+02    4.5253620e-01  2.5000000e-03
  -2.625e+02    4.5345200e-01  2.5000000e-03
  -2.450e+02    4.5744250e-01  2.5000000e-03
  -2.275e+02    4.5184900e-01  2.5000000e-03
  -2.100e+02    4.5763760e-01  2.5000000e-03
  -1.925e+02    4.5522810e-01  2.5000000e-03
  -1.750e+02    4.5315040e-01  2.5000000e-03
  -1.575e+02    4.5209700e-01  2.5000000e-03
  -1.400e+02    4.4932960e-01  2.5000000e-03
  -1.225e+02    4.5517010e-01  2.5000000e-03
  -1.050e+02    4.5301550e-01  2.5000000e-03
  -8.750e+01    4.4935840e-01  2.5000000e-03
  -7.000e+01    4.5210760e-01  2.5000000e-03
  -5.250e+01    4.5187710e-01  2.5000000e-03
  -3.500e+01    4.4590010e-01  2.5000000e-03
  -1.750e+01    4.4559280e-01  2.5000000e-03
   0.000e+00    4.4096090e-01  2.5000000e-03
   1.750e+01    4.3707020e-01  2.5000000e-03
   3.500e+01    4.2560100e-01  2.5000000e-03
   5.250e+01    4.2775860e-01  2.5000000e-03
   7.000e+01    4.2074190e-01  2.5000000e-03
   8.750e+01    4.0624710e-01  2.5000000e-03
   1.050e+02    3.8466620e-01  2.5000000e-03
   1.225e+02    3.3896130e-01  2.5000000e-03
   1.400e+02    2.5737570e-01  2.5000000e-03
   1.575e+02    1.3390330e-01  2.5000000e-03
   1.750e+02    2.5250120e-03  2.5000000e-03
   1.925e+02    2.2100510e-02  2.5000000e-03
   2.100e+02    1.1048100e-01  2.5000000e-03
   2.275e+02    2.5110840e-01  2.5000000e-03
   2.450e+02    3.3865420e-01  2.5000000e-03
   2.625e+02    3.8426710e-01  2.5000000e-03
   2.800e+02    4.0617460e-01  2.5000000e-03
   2.975e+02    4.1689360e-01  2.5000000e-03
   3.150e+02    4.2635560e-01  2.5000000e-03
   3.325e+02    4.2989280e-01  2.5000000e-03
   3.500e+02    4.3648050e-01  2.5000000e-03
   3.675e+02    4.4238600e-01  2.5000000e-03
   3.850e+02    4.4187020e-01  2.5000000e-03
   4.025e+02    4.4826940e-01  2.5000000e-03
   4.200e+02    4.4405270e-01  2.5000000e-03
   4.375e+02    4.4723810e-01  2.5000000e-03
   4.550e+02    4.5019610e-01  2.5000000e-03
   4.725e+02    4.5060670e-01  2.5000000e-03
   4.900e+02    4.4779770e-01  2.5000000e-03
   5.075e+02    4.4751440e-01  2.5000000e-03
   5.250e+02    4.4908120e-01  2.5000000e-03
   5.425e+02    4.5523660e-01  2.5000000e-03
   5.600e+02    4.4858870e-01  2.5000000e-03
   5.775e+02    4.5423580e-01  2.5000000e-03
   5.950e+02    4.5547030e-01  2.5000000e-03
   6.125e+02    4.5696920e-01  2.5000000e-03
   6.300e+02    4.5341270e-01  2.5000000e-03
