#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.7211410e-01  2.5000000e-03
  -6.125e+02    4.7345390e-01  2.5000000e-03
  -5.950e+02    4.7063090e-01  2.5000000e-03
  -5.775e+02    4.7229490e-01  2.5000000e-03
  -5.600e+02    4.6713660e-01  2.5000000e-03
  -5.425e+02    4.6938400e-01  2.5000000e-03
  -5.250e+02    4.7182850e-01  2.5000000e-03
  -5.075e+02    4.7250510e-01  2.5000000e-03
  -4.900e+02    4.7031760e-01  2.5000000e-03
  -4.725e+02    4.6941400e-01  2.5000000e-03
  -4.550e+02    4.7094010e-01  2.5000000e-03
  -4.375e+02    4.6765220e-01  2.5000000e-03
  -4.200e+02    4.6302160e-01  2.5000000e-03
  -4.025e+02    4.6513800e-01  2.5000000e-03
  -3.850e+02    4.6316890e-01  2.5000000e-03
  -3.675e+02    4.6409990e-01  2.5000000e-03
  -3.500e+02    4.5422480e-01  2.5000000e-03
  -3.325e+02    4.4788910e-01  2.5000000e-03
  -3.150e+02    4.4315910e-01  2.5000000e-03
  -2.975e+02    4.2929920e-01  2.5000000e-03
  -2.800e+02    4.0941760e-01  2.5000000e-03
  -2.625e+02    3.7998350e-01  2.5000000e-03
  -2.450e+02    3.2083100e-01  2.5000000e-03
  -2.275e+02    2.1096990e-01  2.5000000e-03
  -2.100e+02    4.7113430e-02  2.5000000e-03
  -1.925e+02    2.8883860e-03  2.5000000e-03
  -1.750e+02    7.3539910e-02  2.5000000e-03
  -1.575e+02    2.1561700e-01  2.5000000e-03
  -1.400e+02    2.9785710e-01  2.5000000e-03
  -1.225e+02    3.1822150e-01  2.5000000e-03
  -1.050e+02    3.2291430e-01  2.5000000e-03
  -8.750e+01    3.6558090e-01  2.5000000e-03
  -7.000e+01    3.8087910e-01  2.5000000e-03
  -5.250e+01    4.0451880e-01  2.5000000e-03
  -3.500e+01    4.3501650e-01  2.5000000e-03
  -1.750e+01    4.5089010e-01  2.5000000e-03
   0.000e+00    4.5641300e-01  2.5000000e-03
   1.750e+01    4.6116420e-01  2.5000000e-03
   3.500e+01    4.6137900e-01  2.5000000e-03
   5.250e+01    4.6637210e-01  2.5000000e-03
   7.000e+01    4.6231410e-01  2.5000000e-03
   8.750e+01    4.6230330e-01  2.5000000e-03
   1.050e+02    4.6610590e-01  2.5000000e-03
   1.225e+02    4.6772430e-01  2.5000000e-03
   1.400e+02    4.6605440e-01  2.5000000e-03
   1.575e+02    4.7092940e-01  2.5000000e-03
   1.750e+02    4.6758670e-01  2.5000000e-03
   1.925e+02    4.7042730e-01  2.5000000e-03
   2.100e+02    4.7311000e-01  2.5000000e-03
   2.275e+02    4.7078470e-01  2.5000000e-03
   2.450e+02    4.7111620e-01  2.5000000e-03
   2.625e+02    4.7102240e-01  2.5000000e-03
   2.800e+02    4.7210460e-01  2.5000000e-03
   2.975e+02    4.7009530e-01  2.5000000e-03
   3.150e+02    4.6976920e-01  2.5000000e-03
   3.325e+02    4.7369000e-01  2.5000000e-03
   3.500e+02    4.7273210e-01  2.5000000e-03
   3.675e+02    4.7484340e-01  2.5000000e-03
   3.850e+02    4.7310360e-01  2.5000000e-03
   4.025e+02    4.7335060e-01  2.5000000e-03
   4.200e+02    4.7242710e-01  2.5000000e-03
   4.375e+02    4.7511250e-01  2.5000000e-03
   4.550e+02    4.7141460e-01  2.5000000e-03
   4.725e+02    4.7243660e-01  2.5000000e-03
   4.900e+02    4.7197210e-01  2.5000000e-03
   5.075e+02    4.6692140e-01  2.5000000e-03
   5.250e+02    4.7050380e-01  2.5000000e-03
   5.425e+02    4.7364310e-01  2.5000000e-03
   5.600e+02    4.7161530e-01  2.5000000e-03
   5.775e+02    4.7048710e-01  2.5000000e-03
   5.950e+02    4.6970840e-01  2.5000000e-03
   6.125e+02    4.7147570e-01  2.5000000e-03
   6.300e+02    4.7629510e-01  2.5000000e-03
