#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.9940420e-01  2.5000000e-03
  -6.125e+02    4.9905790e-01  2.5000000e-03
  -5.950e+02    5.0373190e-01  2.5000000e-03
  -5.775e+02    4.9907340e-01  2.5000000e-03
  -5.600e+02    4.9630100e-01  2.5000000e-03
  -5.425e+02    4.9495310e-01  2.5000000e-03
  -5.250e+02    4.9581250e-01  2.5000000e-03
  -5.075e+02    4.9967240e-01  2.5000000e-03
  -4.900e+02    4.9706670e-01  2.5000000e-03
  -4.725e+02    4.9945210e-01  2.5000000e-03
  -4.550e+02    4.9760500e-01  2.5000000e-03
  -4.375e+02    4.9571130e-01  2.5000000e-03
  -4.200e+02    4.9513220e-01  2.5000000e-03
  -4.025e+02    4.9215900e-01  2.5000000e-03
  -3.850e+02    4.9767530e-01  2.5000000e-03
  -3.675e+02    4.9337470e-01  2.5000000e-03
  -3.500e+02    4.9176330e-01  2.5000000e-03
  -3.325e+02    4.9170150e-01  2.5000000e-03
  -3.150e+02    4.8973730e-01  2.5000000e-03
  -2.975e+02    4.8951320e-01  2.5000000e-03
  -2.800e+02    4.8540880e-01  2.5000000e-03
  -2.625e+02    4.8077950e-01  2.5000000e-03
  -2.450e+02    4.7338230e-01  2.5000000e-03
  -2.275e+02    4.6549210e-01  2.5000000e-03
  -2.100e+02    4.5700630e-01  2.5000000e-03
  -1.925e+02    4.4180650e-01  2.5000000e-03
  -1.750e+02    4.1595120e-01  2.5000000e-03
  -1.575e+02    3.6811780e-01  2.5000000e-03
  -1.400e+02    2.7591290e-01  2.5000000e-03
  -1.225e+02    1.1306190e-01  2.5000000e-03
  -1.050e+02   -1.6103880e-02  2.5000000e-03
  -8.750e+01    3.4835040e-02  2.5000000e-03
  -7.000e+01    1.8328220e-01  2.5000000e-03
  -5.250e+01    3.1079370e-01  2.5000000e-03
  -3.500e+01    3.8355210e-01  2.5000000e-03
  -1.750e+01    4.1908910e-01  2.5000000e-03
   0.000e+00    4.3771430e-01  2.5000000e-03
   1.750e+01    4.3734240e-01  2.5000000e-03
   3.500e+01    4.2442190e-01  2.5000000e-03
   5.250e+01    4.4970400e-01  2.5000000e-03
   7.000e+01    4.7117140e-01  2.5000000e-03
   8.750e+01    4.8058260e-01  2.5000000e-03
   1.050e+02    4.8537000e-01  2.5000000e-03
   1.225e+02    4.8533930e-01  2.5000000e-03
   1.400e+02    4.9200060e-01  2.5000000e-03
   1.575e+02    4.9099260e-01  2.5000000e-03
   1.750e+02    4.9468700e-01  2.5000000e-03
   1.925e+02    4.9646840e-01  2.5000000e-03
   2.100e+02    4.9783900e-01  2.5000000e-03
   2.275e+02    4.9756640e-01  2.5000000e-03
   2.450e+02    4.9920960e-01  2.5000000e-03
   2.625e+02    4.9588350e-01  2.5000000e-03
   2.800e+02    4.9652110e-01  2.5000000e-03
   2.975e+02    5.0074150e-01  2.5000000e-03
   3.150e+02    4.9669620e-01  2.5000000e-03
   3.325e+02    4.9762120e-01  2.5000000e-03
   3.500e+02    5.0033590e-01  2.5000000e-03
   3.675e+02    4.9818930e-01  2.5000000e-03
   3.850e+02    4.9974600e-01  2.5000000e-03
   4.025e+02    4.9841100e-01  2.5000000e-03
   4.200e+02    5.0055280e-01  2.5000000e-03
   4.375e+02    4.9943960e-01  2.5000000e-03
   4.550e+02    5.0001660e-01  2.5000000e-03
   4.725e+02    4.9695650e-01  2.5000000e-03
   4.900e+02    5.0031230e-01  2.5000000e-03
   5.075e+02    4.9859400e-01  2.5000000e-03
   5.250e+02    5.0285240e-01  2.5000000e-03
   5.425e+02    4.9696420e-01  2.5000000e-03
   5.600e+02    4.9720680e-01  2.5000000e-03
   5.775e+02    4.9943530e-01  2.5000000e-03
   5.950e+02    4.9978760e-01  2.5000000e-03
   6.125e+02    4.9664320e-01  2.5000000e-03
   6.300e+02    5.0121930e-01  2.5000000e-03
