#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.5617390e-01  2.5000000e-03
  -6.125e+02    4.5674660e-01  2.5000000e-03
  -5.950e+02    4.5505120e-01  2.5000000e-03
  -5.775e+02    4.5650510e-01  2.5000000e-03
  -5.600e+02    4.5550790e-01  2.5000000e-03
  -5.425e+02    4.5608710e-01  2.5000000e-03
  -5.250e+02    4.5453930e-01  2.5000000e-03
  -5.075e+02    4.5209950e-01  2.5000000e-03
  -4.900e+02    4.5057070e-01  2.5000000e-03
  -4.725e+02    4.5430220e-01  2.5000000e-03
  -4.550e+02    4.5667350e-01  2.5000000e-03
  -4.375e+02    4.5572920e-01  2.5000000e-03
  -4.200e+02    4.5295600e-01  2.5000000e-03
  -4.025e+02    4.5367590e-01  2.5000000e-03
  -3.850e+02    4.5377490e-01  2.5000000e-03
  -3.675e+02    4.5411040e-01  2.5000000e-03
  -3.500e+02    4.4888480e-01  2.5000000e-03
  -3.325e+02    4.5080840e-01  2.5000000e-03
  -3.150e+02    4.4803040e-01  2.5000000e-03
  -2.975e+02    4.4872680e-01  2.5000000e-03
  -2.800e+02    4.4859880e-01  2.5000000e-03
  -2.625e+02    4.4903090e-01  2.5000000e-03
  -2.450e+02    4.4212570e-01  2.5000000e-03
  -2.275e+02    4.3726810e-01  2.5000000e-03
  -2.100e+02    4.2834390e-01  2.5000000e-03
  -1.925e+02    4.2704420e-01  2.5000000e-03
  -1.750e+02    4.2105550e-01  2.5000000e-03
  -1.575e+02    4.0823930e-01  2.5000000e-03
  -1.400e+02    3.8042340e-01  2.5000000e-03
  -1.225e+02    3.3930810e-01  2.5000000e-03
  -1.050e+02    2.5962650e-01  2.5000000e-03
  -8.750e+01    1.1553240e-01  2.5000000e-03
  -7.000e+01    9.6227910e-03  2.5000000e-03
  -5.250e+01    1.7775230e-02  2.5000000e-03
  -3.500e+01    1.3890830e-01  2.5000000e-03
  -1.750e+01    2.5511270e-01  2.5000000e-03
   0.000e+00    3.3261090e-01  2.5000000e-03
   1.750e+01    3.7973250e-01  2.5000000e-03
   3.500e+01    4.0471620e-01  2.5000000e-03
   5.250e+01    4.2007030e-01  2.5000000e-03
   7.000e+01    4.2929760e-01  2.5000000e-03
   8.750e+01    4.3431780e-01  2.5000000e-03
   1.050e+02    4.3703870e-01  2.5000000e-03
   1.225e+02    4.3816140e-01  2.5000000e-03
   1.400e+02    4.4538610e-01  2.5000000e-03
   1.575e+02    4.4665840e-01  2.5000000e-03
   1.750e+02    4.4647710e-01  2.5000000e-03
   1.925e+02    4.5148340e-01  2.5000000e-03
   2.100e+02    4.5177950e-01  2.5000000e-03
   2.275e+02    4.5164350e-01  2.5000000e-03
   2.450e+02    4.5177840e-01  2.5000000e-03
   2.625e+02    4.5258480e-01  2.5000000e-03
   2.800e+02    4.5326930e-01  2.5000000e-03
   2.975e+02    4.5452260e-01  2.5000000e-03
   3.150e+02    4.5204100e-01  2.5000000e-03
   3.325e+02    4.5377430e-01  2.5000000e-03
   3.500e+02    4.5368060e-01  2.5000000e-03
   3.675e+02    4.5063170e-01  2.5000000e-03
   3.850e+02    4.5596230e-01  2.5000000e-03
   4.025e+02    4.5450190e-01  2.5000000e-03
   4.200e+02    4.5422220e-01  2.5000000e-03
   4.375e+02    4.5055310e-01  2.5000000e-03
   4.550e+02    4.5529840e-01  2.5000000e-03
   4.725e+02    4.5610700e-01  2.5000000e-03
   4.900e+02    4.5528590e-01  2.5000000e-03
   5.075e+02    4.5050390e-01  2.5000000e-03
   5.250e+02    4.5247800e-01  2.5000000e-03
   5.425e+02    4.5546350e-01  2.5000000e-03
   5.600e+02    4.5698180e-01  2.5000000e-03
   5.775e+02    4.5542050e-01  2.5000000e-03
   5.950e+02    4.5523440e-01  2.5000000e-03
   6.125e+02    4.5529460e-01  2.5000000e-03
   6.300e+02    4.5428630e-01  2.5000000e-03
