#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.5821730e-01  2.5000000e-03
  -6.125e+02    4.5499270e-01  2.5000000e-03
  -5.950e+02    4.5277220e-01  2.5000000e-03
  -5.775e+02    4.4910320e-01  2.5000000e-03
  -5.600e+02    4.4691410e-01  2.5000000e-03
  -5.425e+02    4.4512750e-01  2.5000000e-03
  -5.250e+02    4.3496550e-01  2.5000000e-03
  -5.075e+02    4.3410910e-01  2.5000000e-03
  -4.900e+02    4.2672520e-01  2.5000000e-03
  -4.725e+02    4.1337900e-01  2.5000000e-03
  -4.550e+02    3.8698810e-01  2.5000000e-03
  -4.375e+02    3.4030310e-01  2.5000000e-03
  -4.200e+02    2.5279730e-01  2.5000000e-03
  -4.025e+02    1.0358320e-01  2.5000000e-03
  -3.850e+02   -1.0247150e-02  2.5000000e-03
  -3.675e+02    3.2564240e-02  2.5000000e-03
  -3.500e+02    1.6699330e-01  2.5000000e-03
  -3.325e+02    2.8387680e-01  2.5000000e-03
  -3.150e+02    3.3174160e-01  2.5000000e-03
  -2.975e+02    3.6241980e-01  2.5000000e-03
  -2.800e+02    3.9834960e-01  2.5000000e-03
  -2.625e+02    4.2251970e-01  2.5000000e-03
  -2.450e+02    4.3468590e-01  2.5000000e-03
  -2.275e+02    4.3710080e-01  2.5000000e-03
  -2.100e+02    4.4234030e-01  2.5000000e-03
  -1.925e+02    4.4827430e-01  2.5000000e-03
  -1.750e+02    4.5304460e-01  2.5000000e-03
  -1.575e+02    4.5593910e-01  2.5000000e-03
  -1.400e+02    4.5600320e-01  2.5000000e-03
  -1.225e+02    4.5626000e-01  2.5000000e-03
  -1.050e+02    4.5575070e-01  2.5000000e-03
  -8.750e+01    4.5699280e-01  2.5000000e-03
  -7.000e+01    4.5316800e-01  2.5000000e-03
  -5.250e+01    4.5981050e-01  2.5000000e-03
  -3.500e+01    4.6086630e-01  2.5000000e-03
  -1.750e+01    4.5693430e-01  2.5000000e-03
   0.000e+00    4.5965950e-01  2.5000000e-03
   1.750e+01    4.5750560e-01  2.5000000e-03
   3.500e+01    4.5981550e-01  2.5000000e-03
   5.250e+01    4.5454750e-01  2.5000000e-03
   7.000e+01    4.5978830e-01  2.5000000e-03
   8.750e+01    4.6075660e-01  2.5000000e-03
   1.050e+02    4.5963120e-01  2.5000000e-03
   1.225e+02    4.6051330e-01  2.5000000e-03
   1.400e+02    4.6276790e-01  2.5000000e-03
   1.575e+02    4.5896990e-01  2.5000000e-03
   1.750e+02    4.5990200e-01  2.5000000e-03
   1.925e+02    4.5889040e-01  2.5000000e-03
   2.100e+02    4.5860930e-01  2.5000000e-03
   2.275e+02    4.6361760e-01  2.5000000e-03
   2.450e+02    4.5862390e-01  2.5000000e-03
   2.625e+02    4.6248490e-01  2.5000000e-03
   2.800e+02    4.5949940e-01  2.5000000e-03
   2.975e+02    4.6018310e-01  2.5000000e-03
   3.150e+02    4.6267240e-01  2.5000000e-03
   3.325e+02    4.6064930e-01  2.5000000e-03
   3.500e+02    4.6452920e-01  2.5000000e-03
   3.675e+02    4.6456580e-01  2.5000000e-03
   3.850e+02    4.6130270e-01  2.5000000e-03
   4.025e+02    4.5705700e-01  2.5000000e-03
   4.200e+02    4.6077400e-01  2.5000000e-03
   4.375e+02    4.5852830e-01  2.5000000e-03
   4.550e+02    4.5861470e-01  2.5000000e-03
   4.725e+02    4.6023610e-01  2.5000000e-03
   4.900e+02    4.5674830e-01  2.5000000e-03
   5.075e+02    4.5242480e-01  2.5000000e-03
   5.250e+02    4.4955080e-01  2.5000000e-03
   5.425e+02    4.5082760e-01  2.5000000e-03
   5.600e+02    4.5465930e-01  2.5000000e-03
   5.775e+02    4.5650790e-01  2.5000000e-03
   5.950e+02    4.5367780e-01  2.5000000e-03
   6.125e+02    4.5297250e-01  2.5000000e-03
   6.300e+02    4.5389390e-01  2.5000000e-03
