#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.7790630e-03
  -6.300e+02    4.5412030e-01  2.7790630e-03
  -6.125e+02    4.5694110e-01  2.7790630e-03
  -5.950e+02    4.5035300e-01  2.7790630e-03
  -5.775e+02    4.5315090e-01  2.7790630e-03
  -5.600e+02    4.5448370e-01  2.7790630e-03
  -5.425e+02    4.5796460e-01  2.7790630e-03
  -5.250e+02    4.5356840e-01  2.7790630e-03
  -5.075e+02    4.5125130e-01  2.7790630e-03
  -4.900e+02    4.4630550e-01  2.7790630e-03
  -4.725e+02    4.3737780e-01  2.7790630e-03
  -4.550e+02    4.1054680e-01  2.7790630e-03
  -4.375e+02    4.2865840e-01  2.7790630e-03
  -4.200e+02    4.5224650e-01  2.7790630e-03
  -4.025e+02    4.6061930e-01  2.7790630e-03
  -3.850e+02    4.6229240e-01  2.7790630e-03
  -3.675e+02    4.6783880e-01  2.7790630e-03
  -3.500e+02    4.6163040e-01  2.7790630e-03
  -3.325e+02    4.6043730e-01  2.7790630e-03
  -3.150e+02    4.5888530e-01  2.7790630e-03
  -2.975e+02    4.6438850e-01  2.7790630e-03
  -2.800e+02    4.5837600e-01  2.7790630e-03
  -2.625e+02    4.6299760e-01  2.7790630e-03
  -2.450e+02    4.7160740e-01  2.7790630e-03
  -2.275e+02    4.5902190e-01  2.7790630e-03
  -2.100e+02    4.6358440e-01  2.7790630e-03
  -1.925e+02    4.5841040e-01  2.7790630e-03
  -1.750e+02    4.5806270e-01  2.7790630e-03
  -1.575e+02    4.6368630e-01  2.7790630e-03
  -1.400e+02    4.5882410e-01  2.7790630e-03
  -1.225e+02    4.5592320e-01  2.7790630e-03
  -1.050e+02    4.6433250e-01  2.7790630e-03
  -8.750e+01    4.6214330e-01  2.7790630e-03
  -7.000e+01    4.6065030e-01  2.7790630e-03
  -5.250e+01    4.6420590e-01  2.7790630e-03
  -3.500e+01    4.6499600e-01  2.7790630e-03
  -1.750e+01    4.6085270e-01  2.7790630e-03
   0.000e+00    4.6019820e-01  2.7790630e-03
   1.750e+01    4.6246730e-01  2.7790630e-03
   3.500e+01    4.6439860e-01  2.7790630e-03
   5.250e+01    4.5588110e-01  2.7790630e-03
   7.000e+01    4.5909020e-01  2.7790630e-03
   8.750e+01    4.5351600e-01  2.7790630e-03
   1.050e+02    4.6257380e-01  2.7790630e-03
   1.225e+02    4.5721810e-01  2.7790630e-03
   1.400e+02    4.5604090e-01  2.7790630e-03
   1.575e+02    4.5652380e-01  2.7790630e-03
   1.750e+02    4.5106170e-01  2.7790630e-03
   1.925e+02    4.5259860e-01  2.7790630e-03
   2.100e+02    4.4754390e-01  2.7790630e-03
   2.275e+02    4.4264650e-01  2.7790630e-03
   2.450e+02    4.3585060e-01  2.7790630e-03
   2.625e+02    4.3686470e-01  2.7790630e-03
   2.800e+02    4.2577320e-01  2.7790630e-03
   2.975e+02    4.1898150e-01  2.7790630e-03
   3.150e+02    3.9075080e-01  2.7790630e-03
   3.325e+02    3.4943710e-01  2.7790630e-03
   3.500e+02    2.7963610e-01  2.7790630e-03
   3.675e+02    1.5550280e-01  2.7790630e-03
   3.850e+02    3.1958000e-02  2.7790630e-03
   4.025e+02    9.8480880e-04  2.7790630e-03
   4.200e+02    1.0860990e-01  2.7790630e-03
   4.375e+02    2.6205290e-01  2.7790630e-03
   4.550e+02    3.4767800e-01  2.7790630e-03
   4.725e+02    3.7733590e-01  2.7790630e-03
   4.900e+02    4.1166050e-01  2.7790630e-03
   5.075e+02    4.2100920e-01  2.7790630e-03
   5.250e+02    4.3261570e-01  2.7790630e-03
   5.425e+02    4.3442760e-01  2.7790630e-03
   5.600e+02    4.4124750e-01  2.7790630e-03
   5.775e+02    4.5326940e-01  2.7790630e-03
   5.950e+02    4.5790900e-01  2.7790630e-03
   6.125e+02    4.5165280e-01  2.7790630e-03
   6.300e+02    4.5578730e-01  2.7790630e-03
