#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  2.5000000e-03
  -6.300e+02    4.5833810e-01  2.5000000e-03
  -6.125e+02    4.5564150e-01  2.5000000e-03
  -5.950e+02    4.5320830e-01  2.5000000e-03
  -5.775e+02    4.5817720e-01  2.5000000e-03
  -5.600e+02    4.5441420e-01  2.5000000e-03
  -5.425e+02    4.5572400e-01  2.5000000e-03
  -5.250e+02    4.5734390e-01  2.5000000e-03
  -5.075e+02    4.5979630e-01  2.5000000e-03
  -4.900e+02    4.5728000e-01  2.5000000e-03
  -4.725e+02    4.5790600e-01  2.5000000e-03
  -4.550e+02    4.5363230e-01  2.5000000e-03
  -4.375e+02    4.5526620e-01  2.5000000e-03
  -4.200e+02    4.5986950e-01  2.5000000e-03
  -4.025e+02    4.5208390e-01  2.5000000e-03
  -3.850e+02    4.5287560e-01  2.5000000e-03
  -3.675e+02    4.5536080e-01  2.5000000e-03
  -3.500e+02    4.5324150e-01  2.5000000e-03
  -3.325e+02    4.5850410e-01  2.5000000e-03
  -3.150e+02    4.5040440e-01  2.5000000e-03
  -2.975e+02    4.5577920e-01  2.5000000e-03
  -2.800e+02    4.5194080e-01  2.5000000e-03
  -2.625e+02    4.5064110e-01  2.5000000e-03
  -2.450e+02    4.5283540e-01  2.5000000e-03
  -2.275e+02    4.4725090e-01  2.5000000e-03
  -2.100e+02    4.5323470e-01  2.5000000e-03
  -1.925e+02    4.4400150e-01  2.5000000e-03
  -1.750e+02    4.4359410e-01  2.5000000e-03
  -1.575e+02    4.3868850e-01  2.5000000e-03
  -1.400e+02    4.3018640e-01  2.5000000e-03
  -1.225e+02    4.1655870e-01  2.5000000e-03
  -1.050e+02    4.1538290e-01  2.5000000e-03
  -8.750e+01    4.1136050e-01  2.5000000e-03
  -7.000e+01    3.9809890e-01  2.5000000e-03
  -5.250e+01    3.7415520e-01  2.5000000e-03
  -3.500e+01    3.3858200e-01  2.5000000e-03
  -1.750e+01    2.9866550e-01  2.5000000e-03
   0.000e+00    2.4755350e-01  2.5000000e-03
   1.750e+01    1.5822690e-01  2.5000000e-03
   3.500e+01    4.1468550e-02  2.5000000e-03
   5.250e+01    4.4550250e-03  2.5000000e-03
   7.000e+01    2.8247490e-02  2.5000000e-03
   8.750e+01    1.5786210e-01  2.5000000e-03
   1.050e+02    2.7299180e-01  2.5000000e-03
   1.225e+02    3.3293090e-01  2.5000000e-03
   1.400e+02    3.7204010e-01  2.5000000e-03
   1.575e+02    4.0084450e-01  2.5000000e-03
   1.750e+02    4.1872400e-01  2.5000000e-03
   1.925e+02    4.2450950e-01  2.5000000e-03
   2.100e+02    4.3215180e-01  2.5000000e-03
   2.275e+02    4.3740740e-01  2.5000000e-03
   2.450e+02    4.3968170e-01  2.5000000e-03
   2.625e+02    4.4084970e-01  2.5000000e-03
   2.800e+02    4.4765820e-01  2.5000000e-03
   2.975e+02    4.4720490e-01  2.5000000e-03
   3.150e+02    4.4695990e-01  2.5000000e-03
   3.325e+02    4.5030960e-01  2.5000000e-03
   3.500e+02    4.4894250e-01  2.5000000e-03
   3.675e+02    4.5269430e-01  2.5000000e-03
   3.850e+02    4.5396690e-01  2.5000000e-03
   4.025e+02    4.5914530e-01  2.5000000e-03
   4.200e+02    4.5864720e-01  2.5000000e-03
   4.375e+02    4.5881180e-01  2.5000000e-03
   4.550e+02    4.5671400e-01  2.5000000e-03
   4.725e+02    4.5962530e-01  2.5000000e-03
   4.900e+02    4.5365400e-01  2.5000000e-03
   5.075e+02    4.5625400e-01  2.5000000e-03
   5.250e+02    4.5903390e-01  2.5000000e-03
   5.425e+02    4.5024650e-01  2.5000000e-03
   5.600e+02    4.5838700e-01  2.5000000e-03
   5.775e+02    4.5564320e-01  2.5000000e-03
   5.950e+02    4.5733740e-01  2.5000000e-03
   6.125e+02    4.5501970e-01  2.5000000e-03
   6.300e+02    4.5553620e-01  2.5000000e-03
