#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.4882890e-01  3.0000000e-03
  -4.410e+02    4.5275110e-01  3.0000000e-03
  -4.305e+02    4.5259120e-01  3.0000000e-03
  -4.200e+02    4.5270720e-01  3.0000000e-03
  -4.095e+02    4.5000470e-01  3.0000000e-03
  -3.990e+02    4.5077980e-01  3.0000000e-03
  -3.885e+02    4.4989340e-01  3.0000000e-03
  -3.780e+02    4.5027680e-01  3.0000000e-03
  -3.675e+02    4.4622120e-01  3.0000000e-03
  -3.570e+02    4.4709140e-01  3.0000000e-03
  -3.465e+02    4.4856840e-01  3.0000000e-03
  -3.360e+02    4.5125970e-01  3.0000000e-03
  -3.255e+02    4.5066800e-01  3.0000000e-03
  -3.150e+02    4.4906580e-01  3.0000000e-03
  -3.045e+02    4.4787340e-01  3.0000000e-03
  -2.940e+02    4.5117860e-01  3.0000000e-03
  -2.835e+02    4.4513990e-01  3.0000000e-03
  -2.730e+02    4.4329090e-01  3.0000000e-03
  -2.625e+02    4.4366380e-01  3.0000000e-03
  -2.520e+02    4.4384790e-01  3.0000000e-03
  -2.415e+02    4.3856690e-01  3.0000000e-03
  -2.310e+02    4.3506910e-01  3.0000000e-03
  -2.205e+02    4.3068320e-01  3.0000000e-03
  -2.100e+02    4.2048360e-01  3.0000000e-03
  -1.995e+02    4.0686960e-01  3.0000000e-03
  -1.890e+02    3.8572810e-01  3.0000000e-03
  -1.785e+02    3.4126490e-01  3.0000000e-03
  -1.680e+02    2.4277980e-01  3.0000000e-03
  -1.575e+02    7.6236930e-02  3.0000000e-03
  -1.470e+02    2.5863310e-02  3.0000000e-03
  -1.365e+02    9.7914010e-02  3.0000000e-03
  -1.260e+02    2.5340590e-01  3.0000000e-03
  -1.155e+02    3.3962000e-01  3.0000000e-03
  -1.050e+02    3.8729200e-01  3.0000000e-03
  -9.450e+01    4.0878220e-01  3.0000000e-03
  -8.400e+01    4.1615060e-01  3.0000000e-03
  -7.350e+01    4.2686130e-01  3.0000000e-03
  -6.300e+01    4.3164090e-01  3.0000000e-03
  -5.250e+01    4.3253360e-01  3.0000000e-03
  -4.200e+01    4.3904920e-01  3.0000000e-03
  -3.150e+01    4.3832770e-01  3.0000000e-03
  -2.100e+01    4.4014600e-01  3.0000000e-03
  -1.050e+01    4.3742630e-01  3.0000000e-03
   0.000e+00    4.4342740e-01  3.0000000e-03
   1.050e+01    4.4554150e-01  3.0000000e-03
   2.100e+01    4.4320160e-01  3.0000000e-03
   3.150e+01    4.5062100e-01  3.0000000e-03
   4.200e+01    4.4703580e-01  3.0000000e-03
   5.250e+01    4.4934870e-01  3.0000000e-03
   6.300e+01    4.3996610e-01  3.0000000e-03
   7.350e+01    4.3343090e-01  3.0000000e-03
   8.400e+01    4.2877870e-01  3.0000000e-03
   9.450e+01    4.1420940e-01  3.0000000e-03
   1.050e+02    4.2377600e-01  3.0000000e-03
   1.155e+02    4.3764320e-01  3.0000000e-03
   1.260e+02    4.4458550e-01  3.0000000e-03
   1.365e+02    4.4839970e-01  3.0000000e-03
   1.470e+02    4.4578270e-01  3.0000000e-03
   1.575e+02    4.5270770e-01  3.0000000e-03
   1.680e+02    4.4891860e-01  3.0000000e-03
   1.785e+02    4.4898120e-01  3.0000000e-03
   1.890e+02    4.5163010e-01  3.0000000e-03
   1.995e+02    4.4970240e-01  3.0000000e-03
   2.100e+02    4.5378050e-01  3.0000000e-03
   2.205e+02    4.5288100e-01  3.0000000e-03
   2.310e+02    4.5036170e-01  3.0000000e-03
   2.415e+02    4.4897230e-01  3.0000000e-03
   2.520e+02    4.4863220e-01  3.0000000e-03
   2.625e+02    4.5131730e-01  3.0000000e-03
   2.730e+02    4.4943490e-01  3.0000000e-03
   2.835e+02    4.5043860e-01  3.0000000e-03
   2.940e+02    4.5016930e-01  3.0000000e-03
   3.045e+02    4.4882430e-01  3.0000000e-03
   3.150e+02    4.5516180e-01  3.0000000e-03
   3.255e+02    4.5301800e-01  3.0000000e-03
   3.360e+02    4.5116320e-01  3.0000000e-03
   3.465e+02    4.4882090e-01  3.0000000e-03
   3.570e+02    4.4987160e-01  3.0000000e-03
   3.675e+02    4.5443300e-01  3.0000000e-03
   3.780e+02    4.4907900e-01  3.0000000e-03
   3.885e+02    4.4908310e-01  3.0000000e-03
   3.990e+02    4.5329220e-01  3.0000000e-03
   4.095e+02    4.5356400e-01  3.0000000e-03
   4.200e+02    4.5099570e-01  3.0000000e-03
   4.305e+02    4.4957400e-01  3.0000000e-03
   4.410e+02    4.5033750e-01  3.0000000e-03
   4.515e+02    4.4926630e-01  3.0000000e-03
