#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.7728910e-01  3.0000000e-03
  -4.410e+02    4.7987440e-01  3.0000000e-03
  -4.305e+02    4.7692900e-01  3.0000000e-03
  -4.200e+02    4.7808920e-01  3.0000000e-03
  -4.095e+02    4.8077330e-01  3.0000000e-03
  -3.990e+02    4.8001030e-01  3.0000000e-03
  -3.885e+02    4.8233660e-01  3.0000000e-03
  -3.780e+02    4.8218950e-01  3.0000000e-03
  -3.675e+02    4.8473690e-01  3.0000000e-03
  -3.570e+02    4.8238900e-01  3.0000000e-03
  -3.465e+02    4.8118170e-01  3.0000000e-03
  -3.360e+02    4.8142060e-01  3.0000000e-03
  -3.255e+02    4.8338970e-01  3.0000000e-03
  -3.150e+02    4.7993770e-01  3.0000000e-03
  -3.045e+02    4.8307040e-01  3.0000000e-03
  -2.940e+02    4.8234870e-01  3.0000000e-03
  -2.835e+02    4.8501170e-01  3.0000000e-03
  -2.730e+02    4.8461260e-01  3.0000000e-03
  -2.625e+02    4.7864010e-01  3.0000000e-03
  -2.520e+02    4.8055760e-01  3.0000000e-03
  -2.415e+02    4.8005270e-01  3.0000000e-03
  -2.310e+02    4.7838930e-01  3.0000000e-03
  -2.205e+02    4.7705270e-01  3.0000000e-03
  -2.100e+02    4.7776120e-01  3.0000000e-03
  -1.995e+02    4.8331910e-01  3.0000000e-03
  -1.890e+02    4.7659120e-01  3.0000000e-03
  -1.785e+02    4.8087050e-01  3.0000000e-03
  -1.680e+02    4.7931840e-01  3.0000000e-03
  -1.575e+02    4.7933470e-01  3.0000000e-03
  -1.470e+02    4.7740440e-01  3.0000000e-03
  -1.365e+02    4.8057110e-01  3.0000000e-03
  -1.260e+02    4.7654690e-01  3.0000000e-03
  -1.155e+02    4.7535340e-01  3.0000000e-03
  -1.050e+02    4.7627360e-01  3.0000000e-03
  -9.450e+01    4.7694000e-01  3.0000000e-03
  -8.400e+01    4.7145080e-01  3.0000000e-03
  -7.350e+01    4.7395150e-01  3.0000000e-03
  -6.300e+01    4.7065030e-01  3.0000000e-03
  -5.250e+01    4.7270850e-01  3.0000000e-03
  -4.200e+01    4.6673210e-01  3.0000000e-03
  -3.150e+01    4.6032240e-01  3.0000000e-03
  -2.100e+01    4.5307760e-01  3.0000000e-03
  -1.050e+01    4.3973810e-01  3.0000000e-03
   0.000e+00    4.2392770e-01  3.0000000e-03
   1.050e+01    3.9019400e-01  3.0000000e-03
   2.100e+01    3.1837750e-01  3.0000000e-03
   3.150e+01    1.3247860e-01  3.0000000e-03
   4.200e+01    9.2042850e-03  3.0000000e-03
   5.250e+01    5.3565820e-02  3.0000000e-03
   6.300e+01    2.3819210e-01  3.0000000e-03
   7.350e+01    3.4897470e-01  3.0000000e-03
   8.400e+01    4.0805720e-01  3.0000000e-03
   9.450e+01    4.3049430e-01  3.0000000e-03
   1.050e+02    4.4244100e-01  3.0000000e-03
   1.155e+02    4.5044520e-01  3.0000000e-03
   1.260e+02    4.6626270e-01  3.0000000e-03
   1.365e+02    4.6873480e-01  3.0000000e-03
   1.470e+02    4.7195220e-01  3.0000000e-03
   1.575e+02    4.7543750e-01  3.0000000e-03
   1.680e+02    4.7544150e-01  3.0000000e-03
   1.785e+02    4.7640680e-01  3.0000000e-03
   1.890e+02    4.7598570e-01  3.0000000e-03
   1.995e+02    4.7219910e-01  3.0000000e-03
   2.100e+02    4.7606000e-01  3.0000000e-03
   2.205e+02    4.7624790e-01  3.0000000e-03
   2.310e+02    4.7512710e-01  3.0000000e-03
   2.415e+02    4.7261660e-01  3.0000000e-03
   2.520e+02    4.7812520e-01  3.0000000e-03
   2.625e+02    4.7400250e-01  3.0000000e-03
   2.730e+02    4.7991880e-01  3.0000000e-03
   2.835e+02    4.7811250e-01  3.0000000e-03
   2.940e+02    4.7702390e-01  3.0000000e-03
   3.045e+02    4.7813750e-01  3.0000000e-03
   3.150e+02    4.7590390e-01  3.0000000e-03
   3.255e+02    4.7994330e-01  3.0000000e-03
   3.360e+02    4.7708490e-01  3.0000000e-03
   3.465e+02    4.7766610e-01  3.0000000e-03
   3.570e+02    4.7811350e-01  3.0000000e-03
   3.675e+02    4.8033420e-01  3.0000000e-03
   3.780e+02    4.8005690e-01  3.0000000e-03
   3.885e+02    4.7987920e-01  3.0000000e-03
   3.990e+02    4.7706590e-01  3.0000000e-03
   4.095e+02    4.8258350e-01  3.0000000e-03
   4.200e+02    4.7653130e-01  3.0000000e-03
   4.305e+02    4.7660360e-01  3.0000000e-03
   4.410e+02    4.7870560e-01  3.0000000e-03
   4.515e+02    4.7835400e-01  3.0000000e-03
