#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.8706260e-01  3.0000000e-03
  -4.410e+02    4.8746120e-01  3.0000000e-03
  -4.305e+02    4.8796180e-01  3.0000000e-03
  -4.200e+02    4.9208530e-01  3.0000000e-03
  -4.095e+02    4.8906780e-01  3.0000000e-03
  -3.990e+02    4.8914340e-01  3.0000000e-03
  -3.885e+02    4.8949760e-01  3.0000000e-03
  -3.780e+02    4.9251740e-01  3.0000000e-03
  -3.675e+02    4.8881610e-01  3.0000000e-03
  -3.570e+02    4.8977180e-01  3.0000000e-03
  -3.465e+02    4.9140480e-01  3.0000000e-03
  -3.360e+02    4.9063480e-01  3.0000000e-03
  -3.255e+02    4.8829350e-01  3.0000000e-03
  -3.150e+02    4.9169070e-01  3.0000000e-03
  -3.045e+02    4.9127540e-01  3.0000000e-03
  -2.940e+02    4.9057440e-01  3.0000000e-03
  -2.835e+02    4.8943880e-01  3.0000000e-03
  -2.730e+02    4.9160980e-01  3.0000000e-03
  -2.625e+02    4.8942870e-01  3.0000000e-03
  -2.520e+02    4.9321810e-01  3.0000000e-03
  -2.415e+02    4.8751430e-01  3.0000000e-03
  -2.310e+02    4.9114090e-01  3.0000000e-03
  -2.205e+02    4.8970360e-01  3.0000000e-03
  -2.100e+02    4.9392240e-01  3.0000000e-03
  -1.995e+02    4.8819420e-01  3.0000000e-03
  -1.890e+02    4.9223640e-01  3.0000000e-03
  -1.785e+02    4.8991270e-01  3.0000000e-03
  -1.680e+02    4.8994010e-01  3.0000000e-03
  -1.575e+02    4.8918250e-01  3.0000000e-03
  -1.470e+02    4.9035870e-01  3.0000000e-03
  -1.365e+02    4.9096140e-01  3.0000000e-03
  -1.260e+02    4.9154680e-01  3.0000000e-03
  -1.155e+02    4.8930610e-01  3.0000000e-03
  -1.050e+02    4.9083520e-01  3.0000000e-03
  -9.450e+01    4.8908140e-01  3.0000000e-03
  -8.400e+01    4.9501900e-01  3.0000000e-03
  -7.350e+01    4.9108480e-01  3.0000000e-03
  -6.300e+01    4.8710390e-01  3.0000000e-03
  -5.250e+01    4.9247770e-01  3.0000000e-03
  -4.200e+01    4.9097210e-01  3.0000000e-03
  -3.150e+01    4.8756830e-01  3.0000000e-03
  -2.100e+01    4.8765360e-01  3.0000000e-03
  -1.050e+01    4.8553980e-01  3.0000000e-03
   0.000e+00    4.8597680e-01  3.0000000e-03
   1.050e+01    4.8159440e-01  3.0000000e-03
   2.100e+01    4.7675750e-01  3.0000000e-03
   3.150e+01    4.6712640e-01  3.0000000e-03
   4.200e+01    4.4449440e-01  3.0000000e-03
   5.250e+01    4.5011530e-01  3.0000000e-03
   6.300e+01    4.6838790e-01  3.0000000e-03
   7.350e+01    4.8111280e-01  3.0000000e-03
   8.400e+01    4.8120670e-01  3.0000000e-03
   9.450e+01    4.7936980e-01  3.0000000e-03
   1.050e+02    4.7963990e-01  3.0000000e-03
   1.155e+02    4.7957700e-01  3.0000000e-03
   1.260e+02    4.8149850e-01  3.0000000e-03
   1.365e+02    4.7988440e-01  3.0000000e-03
   1.470e+02    4.7602430e-01  3.0000000e-03
   1.575e+02    4.7564970e-01  3.0000000e-03
   1.680e+02    4.6980760e-01  3.0000000e-03
   1.785e+02    4.6485610e-01  3.0000000e-03
   1.890e+02    4.6114730e-01  3.0000000e-03
   1.995e+02    4.4888790e-01  3.0000000e-03
   2.100e+02    4.2813580e-01  3.0000000e-03
   2.205e+02    3.9762190e-01  3.0000000e-03
   2.310e+02    3.4506500e-01  3.0000000e-03
   2.415e+02    2.3338990e-01  3.0000000e-03
   2.520e+02    5.6347840e-02  3.0000000e-03
   2.625e+02    2.8171010e-02  3.0000000e-03
   2.730e+02    1.0445210e-01  3.0000000e-03
   2.835e+02    2.7046540e-01  3.0000000e-03
   2.940e+02    3.6284280e-01  3.0000000e-03
   3.045e+02    4.0943090e-01  3.0000000e-03
   3.150e+02    4.3702060e-01  3.0000000e-03
   3.255e+02    4.5419900e-01  3.0000000e-03
   3.360e+02    4.6453830e-01  3.0000000e-03
   3.465e+02    4.6819510e-01  3.0000000e-03
   3.570e+02    4.7372380e-01  3.0000000e-03
   3.675e+02    4.7212560e-01  3.0000000e-03
   3.780e+02    4.7902790e-01  3.0000000e-03
   3.885e+02    4.8247490e-01  3.0000000e-03
   3.990e+02    4.8166930e-01  3.0000000e-03
   4.095e+02    4.8358860e-01  3.0000000e-03
   4.200e+02    4.8552680e-01  3.0000000e-03
   4.305e+02    4.8120400e-01  3.0000000e-03
   4.410e+02    4.8385310e-01  3.0000000e-03
   4.515e+02    4.8425830e-01  3.0000000e-03
