#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.5581740e-01  3.0000000e-03
  -4.410e+02    4.5884690e-01  3.0000000e-03
  -4.305e+02    4.5864430e-01  3.0000000e-03
  -4.200e+02    4.6385300e-01  3.0000000e-03
  -4.095e+02    4.6515510e-01  3.0000000e-03
  -3.990e+02    4.6703960e-01  3.0000000e-03
  -3.885e+02    4.6980590e-01  3.0000000e-03
  -3.780e+02    4.7259910e-01  3.0000000e-03
  -3.675e+02    4.6935780e-01  3.0000000e-03
  -3.570e+02    4.7454390e-01  3.0000000e-03
  -3.465e+02    4.7564860e-01  3.0000000e-03
  -3.360e+02    4.6546580e-01  3.0000000e-03
  -3.255e+02    4.7261910e-01  3.0000000e-03
  -3.150e+02    4.7761720e-01  3.0000000e-03
  -3.045e+02    4.7101080e-01  3.0000000e-03
  -2.940e+02    4.7233300e-01  3.0000000e-03
  -2.835e+02    4.7842130e-01  3.0000000e-03
  -2.730e+02    4.7306670e-01  3.0000000e-03
  -2.625e+02    4.7359660e-01  3.0000000e-03
  -2.520e+02    4.7230980e-01  3.0000000e-03
  -2.415e+02    4.7538490e-01  3.0000000e-03
  -2.310e+02    4.7491140e-01  3.0000000e-03
  -2.205e+02    4.7650930e-01  3.0000000e-03
  -2.100e+02    4.7541380e-01  3.0000000e-03
  -1.995e+02    4.7410470e-01  3.0000000e-03
  -1.890e+02    4.7248200e-01  3.0000000e-03
  -1.785e+02    4.7724100e-01  3.0000000e-03
  -1.680e+02    4.7851060e-01  3.0000000e-03
  -1.575e+02    4.7542040e-01  3.0000000e-03
  -1.470e+02    4.7587270e-01  3.0000000e-03
  -1.365e+02    4.7755890e-01  3.0000000e-03
  -1.260e+02    4.8130280e-01  3.0000000e-03
  -1.155e+02    4.7485120e-01  3.0000000e-03
  -1.050e+02    4.7479870e-01  3.0000000e-03
  -9.450e+01    4.7485930e-01  3.0000000e-03
  -8.400e+01    4.7632570e-01  3.0000000e-03
  -7.350e+01    4.7336510e-01  3.0000000e-03
  -6.300e+01    4.7370920e-01  3.0000000e-03
  -5.250e+01    4.7373040e-01  3.0000000e-03
  -4.200e+01    4.7739050e-01  3.0000000e-03
  -3.150e+01    4.7546010e-01  3.0000000e-03
  -2.100e+01    4.7725200e-01  3.0000000e-03
  -1.050e+01    4.7772730e-01  3.0000000e-03
   0.000e+00    4.7491730e-01  3.0000000e-03
   1.050e+01    4.7759540e-01  3.0000000e-03
   2.100e+01    4.7323620e-01  3.0000000e-03
   3.150e+01    4.6997960e-01  3.0000000e-03
   4.200e+01    4.7924080e-01  3.0000000e-03
   5.250e+01    4.7563530e-01  3.0000000e-03
   6.300e+01    4.7000370e-01  3.0000000e-03
   7.350e+01    4.7691430e-01  3.0000000e-03
   8.400e+01    4.7834750e-01  3.0000000e-03
   9.450e+01    4.7274860e-01  3.0000000e-03
   1.050e+02    4.7498420e-01  3.0000000e-03
   1.155e+02    4.7499570e-01  3.0000000e-03
   1.260e+02    4.7234620e-01  3.0000000e-03
   1.365e+02    4.7659890e-01  3.0000000e-03
   1.470e+02    4.7077240e-01  3.0000000e-03
   1.575e+02    4.7135000e-01  3.0000000e-03
   1.680e+02    4.7834010e-01  3.0000000e-03
   1.785e+02    4.7160150e-01  3.0000000e-03
   1.890e+02    4.7105750e-01  3.0000000e-03
   1.995e+02    4.7169400e-01  3.0000000e-03
   2.100e+02    4.6744920e-01  3.0000000e-03
   2.205e+02    4.6688450e-01  3.0000000e-03
   2.310e+02    4.6639380e-01  3.0000000e-03
   2.415e+02    4.6837630e-01  3.0000000e-03
   2.520e+02    4.6860040e-01  3.0000000e-03
   2.625e+02    4.5957200e-01  3.0000000e-03
   2.730e+02    4.5311080e-01  3.0000000e-03
   2.835e+02    4.5495580e-01  3.0000000e-03
   2.940e+02    4.5053980e-01  3.0000000e-03
   3.045e+02    4.4416930e-01  3.0000000e-03
   3.150e+02    4.3051480e-01  3.0000000e-03
   3.255e+02    4.0604780e-01  3.0000000e-03
   3.360e+02    3.6236920e-01  3.0000000e-03
   3.465e+02    2.7459820e-01  3.0000000e-03
   3.570e+02    1.2362990e-01  3.0000000e-03
   3.675e+02   -1.4457030e-02  3.0000000e-03
   3.780e+02    1.7286040e-02  3.0000000e-03
   3.885e+02    1.7459350e-01  3.0000000e-03
   3.990e+02    3.1511640e-01  3.0000000e-03
   4.095e+02    3.8345310e-01  3.0000000e-03
   4.200e+02    4.1589950e-01  3.0000000e-03
   4.305e+02    4.3571470e-01  3.0000000e-03
   4.410e+02    4.4916950e-01  3.0000000e-03
   4.515e+02    4.5162530e-01  3.0000000e-03
