#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    5.2250040e-01  3.0000000e-03
  -4.410e+02    5.1706160e-01  3.0000000e-03
  -4.305e+02    5.1902950e-01  3.0000000e-03
  -4.200e+02    5.1783720e-01  3.0000000e-03
  -4.095e+02    5.1744920e-01  3.0000000e-03
  -3.990e+02    5.2149610e-01  3.0000000e-03
  -3.885e+02    5.2281740e-01  3.0000000e-03
  -3.780e+02    5.1988220e-01  3.0000000e-03
  -3.675e+02    5.1874820e-01  3.0000000e-03
  -3.570e+02    5.1857840e-01  3.0000000e-03
  -3.465e+02    5.2228220e-01  3.0000000e-03
  -3.360e+02    5.1896980e-01  3.0000000e-03
  -3.255e+02    5.2151440e-01  3.0000000e-03
  -3.150e+02    5.2030610e-01  3.0000000e-03
  -3.045e+02    5.2055020e-01  3.0000000e-03
  -2.940e+02    5.2156620e-01  3.0000000e-03
  -2.835e+02    5.1995850e-01  3.0000000e-03
  -2.730e+02    5.2131910e-01  3.0000000e-03
  -2.625e+02    5.2264810e-01  3.0000000e-03
  -2.520e+02    5.1595630e-01  3.0000000e-03
  -2.415e+02    5.1430250e-01  3.0000000e-03
  -2.310e+02    5.2028630e-01  3.0000000e-03
  -2.205e+02    5.1709060e-01  3.0000000e-03
  -2.100e+02    5.1527540e-01  3.0000000e-03
  -1.995e+02    5.1699780e-01  3.0000000e-03
  -1.890e+02    5.1493680e-01  3.0000000e-03
  -1.785e+02    5.1616180e-01  3.0000000e-03
  -1.680e+02    5.1426500e-01  3.0000000e-03
  -1.575e+02    5.1434310e-01  3.0000000e-03
  -1.470e+02    5.1286030e-01  3.0000000e-03
  -1.365e+02    5.0944490e-01  3.0000000e-03
  -1.260e+02    5.0684420e-01  3.0000000e-03
  -1.155e+02    5.0504150e-01  3.0000000e-03
  -1.050e+02    5.0121010e-01  3.0000000e-03
  -9.450e+01    4.9795350e-01  3.0000000e-03
  -8.400e+01    4.8858090e-01  3.0000000e-03
  -7.350e+01    4.7411400e-01  3.0000000e-03
  -6.300e+01    4.4952400e-01  3.0000000e-03
  -5.250e+01    4.0238160e-01  3.0000000e-03
  -4.200e+01    3.0700870e-01  3.0000000e-03
  -3.150e+01    1.2046230e-01  3.0000000e-03
  -2.100e+01    2.7595140e-02  3.0000000e-03
  -1.050e+01    7.6285640e-02  3.0000000e-03
   0.000e+00    2.7648520e-01  3.0000000e-03
   1.050e+01    3.8608570e-01  3.0000000e-03
   2.100e+01    4.3869840e-01  3.0000000e-03
   3.150e+01    4.6588680e-01  3.0000000e-03
   4.200e+01    4.7850740e-01  3.0000000e-03
   5.250e+01    4.8972330e-01  3.0000000e-03
   6.300e+01    4.9579430e-01  3.0000000e-03
   7.350e+01    5.0066960e-01  3.0000000e-03
   8.400e+01    4.9980450e-01  3.0000000e-03
   9.450e+01    4.9762240e-01  3.0000000e-03
   1.050e+02    4.8370630e-01  3.0000000e-03
   1.155e+02    4.5776010e-01  3.0000000e-03
   1.260e+02    4.8492820e-01  3.0000000e-03
   1.365e+02    5.0419670e-01  3.0000000e-03
   1.470e+02    5.1047440e-01  3.0000000e-03
   1.575e+02    5.1420800e-01  3.0000000e-03
   1.680e+02    5.1721110e-01  3.0000000e-03
   1.785e+02    5.1732020e-01  3.0000000e-03
   1.890e+02    5.1700340e-01  3.0000000e-03
   1.995e+02    5.1896040e-01  3.0000000e-03
   2.100e+02    5.1752510e-01  3.0000000e-03
   2.205e+02    5.1864270e-01  3.0000000e-03
   2.310e+02    5.1794300e-01  3.0000000e-03
   2.415e+02    5.1798890e-01  3.0000000e-03
   2.520e+02    5.1888640e-01  3.0000000e-03
   2.625e+02    5.1930040e-01  3.0000000e-03
   2.730e+02    5.2125460e-01  3.0000000e-03
   2.835e+02    5.1859090e-01  3.0000000e-03
   2.940e+02    5.1609380e-01  3.0000000e-03
   3.045e+02    5.2080530e-01  3.0000000e-03
   3.150e+02    5.2001280e-01  3.0000000e-03
   3.255e+02    5.2011420e-01  3.0000000e-03
   3.360e+02    5.1876710e-01  3.0000000e-03
   3.465e+02    5.1872840e-01  3.0000000e-03
   3.570e+02    5.1780950e-01  3.0000000e-03
   3.675e+02    5.1861100e-01  3.0000000e-03
   3.780e+02    5.1916180e-01  3.0000000e-03
   3.885e+02    5.1750270e-01  3.0000000e-03
   3.990e+02    5.1864570e-01  3.0000000e-03
   4.095e+02    5.1740650e-01  3.0000000e-03
   4.200e+02    5.1975620e-01  3.0000000e-03
   4.305e+02    5.2009680e-01  3.0000000e-03
   4.410e+02    5.1741570e-01  3.0000000e-03
   4.515e+02    5.1971110e-01  3.0000000e-03
