#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.7148780e-01  3.0000000e-03
  -4.410e+02    4.6977920e-01  3.0000000e-03
  -4.305e+02    4.6278050e-01  3.0000000e-03
  -4.200e+02    4.6963360e-01  3.0000000e-03
  -4.095e+02    4.7195560e-01  3.0000000e-03
  -3.990e+02    4.6620210e-01  3.0000000e-03
  -3.885e+02    4.7055480e-01  3.0000000e-03
  -3.780e+02    4.6547420e-01  3.0000000e-03
  -3.675e+02    4.7060970e-01  3.0000000e-03
  -3.570e+02    4.6985530e-01  3.0000000e-03
  -3.465e+02    4.6945620e-01  3.0000000e-03
  -3.360e+02    4.6665340e-01  3.0000000e-03
  -3.255e+02    4.6925320e-01  3.0000000e-03
  -3.150e+02    4.7003870e-01  3.0000000e-03
  -3.045e+02    4.6747380e-01  3.0000000e-03
  -2.940e+02    4.6894040e-01  3.0000000e-03
  -2.835e+02    4.6751890e-01  3.0000000e-03
  -2.730e+02    4.6302770e-01  3.0000000e-03
  -2.625e+02    4.6819430e-01  3.0000000e-03
  -2.520e+02    4.6443740e-01  3.0000000e-03
  -2.415e+02    4.6302700e-01  3.0000000e-03
  -2.310e+02    4.6473230e-01  3.0000000e-03
  -2.205e+02    4.6283150e-01  3.0000000e-03
  -2.100e+02    4.6535370e-01  3.0000000e-03
  -1.995e+02    4.6450520e-01  3.0000000e-03
  -1.890e+02    4.6090760e-01  3.0000000e-03
  -1.785e+02    4.6009370e-01  3.0000000e-03
  -1.680e+02    4.5805310e-01  3.0000000e-03
  -1.575e+02    4.5013890e-01  3.0000000e-03
  -1.470e+02    4.5301260e-01  3.0000000e-03
  -1.365e+02    4.4846000e-01  3.0000000e-03
  -1.260e+02    4.3910480e-01  3.0000000e-03
  -1.155e+02    4.3039800e-01  3.0000000e-03
  -1.050e+02    4.1996520e-01  3.0000000e-03
  -9.450e+01    3.8209030e-01  3.0000000e-03
  -8.400e+01    3.1976430e-01  3.0000000e-03
  -7.350e+01    1.7789880e-01  3.0000000e-03
  -6.300e+01   -1.5816830e-02  3.0000000e-03
  -5.250e+01    2.3346490e-02  3.0000000e-03
  -4.200e+01    1.9351840e-01  3.0000000e-03
  -3.150e+01    3.1477710e-01  3.0000000e-03
  -2.100e+01    3.7011770e-01  3.0000000e-03
  -1.050e+01    3.9957660e-01  3.0000000e-03
   0.000e+00    4.1727530e-01  3.0000000e-03
   1.050e+01    4.3035800e-01  3.0000000e-03
   2.100e+01    4.3248000e-01  3.0000000e-03
   3.150e+01    4.4195220e-01  3.0000000e-03
   4.200e+01    4.4693670e-01  3.0000000e-03
   5.250e+01    4.5271010e-01  3.0000000e-03
   6.300e+01    4.5329240e-01  3.0000000e-03
   7.350e+01    4.5436780e-01  3.0000000e-03
   8.400e+01    4.4203860e-01  3.0000000e-03
   9.450e+01    4.1659100e-01  3.0000000e-03
   1.050e+02    4.2769110e-01  3.0000000e-03
   1.155e+02    4.4429520e-01  3.0000000e-03
   1.260e+02    4.5423200e-01  3.0000000e-03
   1.365e+02    4.5909930e-01  3.0000000e-03
   1.470e+02    4.6456380e-01  3.0000000e-03
   1.575e+02    4.6605120e-01  3.0000000e-03
   1.680e+02    4.6532410e-01  3.0000000e-03
   1.785e+02    4.6848670e-01  3.0000000e-03
   1.890e+02    4.6945700e-01  3.0000000e-03
   1.995e+02    4.7270440e-01  3.0000000e-03
   2.100e+02    4.6982430e-01  3.0000000e-03
   2.205e+02    4.6739180e-01  3.0000000e-03
   2.310e+02    4.6498580e-01  3.0000000e-03
   2.415e+02    4.6555240e-01  3.0000000e-03
   2.520e+02    4.6859580e-01  3.0000000e-03
   2.625e+02    4.6991920e-01  3.0000000e-03
   2.730e+02    4.6893860e-01  3.0000000e-03
   2.835e+02    4.6949100e-01  3.0000000e-03
   2.940e+02    4.6615050e-01  3.0000000e-03
   3.045e+02    4.6805100e-01  3.0000000e-03
   3.150e+02    4.6607500e-01  3.0000000e-03
   3.255e+02    4.7209130e-01  3.0000000e-03
   3.360e+02    4.6546160e-01  3.0000000e-03
   3.465e+02    4.6368140e-01  3.0000000e-03
   3.570e+02    4.6486880e-01  3.0000000e-03
   3.675e+02    4.6632410e-01  3.0000000e-03
   3.780e+02    4.6797180e-01  3.0000000e-03
   3.885e+02    4.7053320e-01  3.0000000e-03
   3.990e+02    4.6560590e-01  3.0000000e-03
   4.095e+02    4.6000860e-01  3.0000000e-03
   4.200e+02    4.6981340e-01  3.0000000e-03
   4.305e+02    4.6818960e-01  3.0000000e-03
   4.410e+02    4.6303100e-01  3.0000000e-03
   4.515e+02    4.6651740e-01  3.0000000e-03
