#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0360020e-03
  -4.515e+02   -1.7221570e-02  3.0360020e-03
  -4.410e+02    1.3464930e-01  3.0360020e-03
  -4.305e+02    2.9406740e-01  3.0360020e-03
  -4.200e+02    3.6923790e-01  3.0360020e-03
  -4.095e+02    4.0862690e-01  3.0360020e-03
  -3.990e+02    4.2942810e-01  3.0360020e-03
  -3.885e+02    4.3641890e-01  3.0360020e-03
  -3.780e+02    4.4907350e-01  3.0360020e-03
  -3.675e+02    4.4889310e-01  3.0360020e-03
  -3.570e+02    4.5855650e-01  3.0360020e-03
  -3.465e+02    4.5247650e-01  3.0360020e-03
  -3.360e+02    4.6041270e-01  3.0360020e-03
  -3.255e+02    4.6741700e-01  3.0360020e-03
  -3.150e+02    4.6569560e-01  3.0360020e-03
  -3.045e+02    4.6991930e-01  3.0360020e-03
  -2.940e+02    4.6934160e-01  3.0360020e-03
  -2.835e+02    4.6824190e-01  3.0360020e-03
  -2.730e+02    4.6442790e-01  3.0360020e-03
  -2.625e+02    4.6659240e-01  3.0360020e-03
  -2.520e+02    4.6672300e-01  3.0360020e-03
  -2.415e+02    4.7229370e-01  3.0360020e-03
  -2.310e+02    4.6955520e-01  3.0360020e-03
  -2.205e+02    4.7173450e-01  3.0360020e-03
  -2.100e+02    4.7145420e-01  3.0360020e-03
  -1.995e+02    4.7251270e-01  3.0360020e-03
  -1.890e+02    4.6676800e-01  3.0360020e-03
  -1.785e+02    4.7397130e-01  3.0360020e-03
  -1.680e+02    4.7381250e-01  3.0360020e-03
  -1.575e+02    4.6862900e-01  3.0360020e-03
  -1.470e+02    4.7205620e-01  3.0360020e-03
  -1.365e+02    4.6898740e-01  3.0360020e-03
  -1.260e+02    4.7344150e-01  3.0360020e-03
  -1.155e+02    4.6942400e-01  3.0360020e-03
  -1.050e+02    4.6823270e-01  3.0360020e-03
  -9.450e+01    4.6538080e-01  3.0360020e-03
  -8.400e+01    4.6599100e-01  3.0360020e-03
  -7.350e+01    4.5795160e-01  3.0360020e-03
  -6.300e+01    4.6166990e-01  3.0360020e-03
  -5.250e+01    4.5232980e-01  3.0360020e-03
  -4.200e+01    4.3149610e-01  3.0360020e-03
  -3.150e+01    4.2936490e-01  3.0360020e-03
  -2.100e+01    4.4788540e-01  3.0360020e-03
  -1.050e+01    4.5449040e-01  3.0360020e-03
   0.000e+00    4.6319180e-01  3.0360020e-03
   1.050e+01    4.6775060e-01  3.0360020e-03
   2.100e+01    4.6473760e-01  3.0360020e-03
   3.150e+01    4.6883440e-01  3.0360020e-03
   4.200e+01    4.6721900e-01  3.0360020e-03
   5.250e+01    4.7298550e-01  3.0360020e-03
   6.300e+01    4.7060940e-01  3.0360020e-03
   7.350e+01    4.6752380e-01  3.0360020e-03
   8.400e+01    4.7053250e-01  3.0360020e-03
   9.450e+01    4.7614660e-01  3.0360020e-03
   1.050e+02    4.7321660e-01  3.0360020e-03
   1.155e+02    4.7351150e-01  3.0360020e-03
   1.260e+02    4.7177770e-01  3.0360020e-03
   1.365e+02    4.7025870e-01  3.0360020e-03
   1.470e+02    4.6821670e-01  3.0360020e-03
   1.575e+02    4.6927090e-01  3.0360020e-03
   1.680e+02    4.7174210e-01  3.0360020e-03
   1.785e+02    4.7442620e-01  3.0360020e-03
   1.890e+02    4.6711910e-01  3.0360020e-03
   1.995e+02    4.7339010e-01  3.0360020e-03
   2.100e+02    4.6949710e-01  3.0360020e-03
   2.205e+02    4.6875130e-01  3.0360020e-03
   2.310e+02    4.6630450e-01  3.0360020e-03
   2.415e+02    4.6512060e-01  3.0360020e-03
   2.520e+02    4.7005820e-01  3.0360020e-03
   2.625e+02    4.6900660e-01  3.0360020e-03
   2.730e+02    4.6755430e-01  3.0360020e-03
   2.835e+02    4.6916330e-01  3.0360020e-03
   2.940e+02    4.6808160e-01  3.0360020e-03
   3.045e+02    4.6929230e-01  3.0360020e-03
   3.150e+02    4.6778320e-01  3.0360020e-03
   3.255e+02    4.6411020e-01  3.0360020e-03
   3.360e+02    4.5762100e-01  3.0360020e-03
   3.465e+02    4.5939580e-01  3.0360020e-03
   3.570e+02    4.5601550e-01  3.0360020e-03
   3.675e+02    4.4831890e-01  3.0360020e-03
   3.780e+02    4.4268350e-01  3.0360020e-03
   3.885e+02    4.2743260e-01  3.0360020e-03
   3.990e+02    4.0450100e-01  3.0360020e-03
   4.095e+02    3.7314200e-01  3.0360020e-03
   4.200e+02    3.0579090e-01  3.0360020e-03
   4.305e+02    1.5360050e-01  3.0360020e-03
   4.410e+02   -1.1889540e-02  3.0360020e-03
   4.515e+02    2.3561840e-02  3.0360020e-03
