#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.6429540e-01  3.0000000e-03
  -4.410e+02    4.6294060e-01  3.0000000e-03
  -4.305e+02    4.6480880e-01  3.0000000e-03
  -4.200e+02    4.6386050e-01  3.0000000e-03
  -4.095e+02    4.6117160e-01  3.0000000e-03
  -3.990e+02    4.6609560e-01  3.0000000e-03
  -3.885e+02    4.6285510e-01  3.0000000e-03
  -3.780e+02    4.6639640e-01  3.0000000e-03
  -3.675e+02    4.6619730e-01  3.0000000e-03
  -3.570e+02    4.6299180e-01  3.0000000e-03
  -3.465e+02    4.6464310e-01  3.0000000e-03
  -3.360e+02    4.6619270e-01  3.0000000e-03
  -3.255e+02    4.6457310e-01  3.0000000e-03
  -3.150e+02    4.6036700e-01  3.0000000e-03
  -3.045e+02    4.6185350e-01  3.0000000e-03
  -2.940e+02    4.6013580e-01  3.0000000e-03
  -2.835e+02    4.5968850e-01  3.0000000e-03
  -2.730e+02    4.6229420e-01  3.0000000e-03
  -2.625e+02    4.6382830e-01  3.0000000e-03
  -2.520e+02    4.6600400e-01  3.0000000e-03
  -2.415e+02    4.6177420e-01  3.0000000e-03
  -2.310e+02    4.6082560e-01  3.0000000e-03
  -2.205e+02    4.6249220e-01  3.0000000e-03
  -2.100e+02    4.6058940e-01  3.0000000e-03
  -1.995e+02    4.5503980e-01  3.0000000e-03
  -1.890e+02    4.6018100e-01  3.0000000e-03
  -1.785e+02    4.5899140e-01  3.0000000e-03
  -1.680e+02    4.6003180e-01  3.0000000e-03
  -1.575e+02    4.5948460e-01  3.0000000e-03
  -1.470e+02    4.5157740e-01  3.0000000e-03
  -1.365e+02    4.5800900e-01  3.0000000e-03
  -1.260e+02    4.6213250e-01  3.0000000e-03
  -1.155e+02    4.6190350e-01  3.0000000e-03
  -1.050e+02    4.5707240e-01  3.0000000e-03
  -9.450e+01    4.5726440e-01  3.0000000e-03
  -8.400e+01    4.5151760e-01  3.0000000e-03
  -7.350e+01    4.4968390e-01  3.0000000e-03
  -6.300e+01    4.4813330e-01  3.0000000e-03
  -5.250e+01    4.3832980e-01  3.0000000e-03
  -4.200e+01    4.2848260e-01  3.0000000e-03
  -3.150e+01    4.1720260e-01  3.0000000e-03
  -2.100e+01    3.9209370e-01  3.0000000e-03
  -1.050e+01    3.3732560e-01  3.0000000e-03
   0.000e+00    2.3255270e-01  3.0000000e-03
   1.050e+01    3.9919390e-02  3.0000000e-03
   2.100e+01   -7.5174690e-03  3.0000000e-03
   3.150e+01    1.0239860e-01  3.0000000e-03
   4.200e+01    2.3427800e-01  3.0000000e-03
   5.250e+01    3.1872180e-01  3.0000000e-03
   6.300e+01    3.8151130e-01  3.0000000e-03
   7.350e+01    4.1587940e-01  3.0000000e-03
   8.400e+01    4.3116140e-01  3.0000000e-03
   9.450e+01    4.4495030e-01  3.0000000e-03
   1.050e+02    4.4617760e-01  3.0000000e-03
   1.155e+02    4.4608950e-01  3.0000000e-03
   1.260e+02    4.5128300e-01  3.0000000e-03
   1.365e+02    4.5238730e-01  3.0000000e-03
   1.470e+02    4.5988730e-01  3.0000000e-03
   1.575e+02    4.4984150e-01  3.0000000e-03
   1.680e+02    4.5692750e-01  3.0000000e-03
   1.785e+02    4.5819060e-01  3.0000000e-03
   1.890e+02    4.5555780e-01  3.0000000e-03
   1.995e+02    4.6177640e-01  3.0000000e-03
   2.100e+02    4.5877120e-01  3.0000000e-03
   2.205e+02    4.6102960e-01  3.0000000e-03
   2.310e+02    4.6448760e-01  3.0000000e-03
   2.415e+02    4.6086890e-01  3.0000000e-03
   2.520e+02    4.6365750e-01  3.0000000e-03
   2.625e+02    4.5603180e-01  3.0000000e-03
   2.730e+02    4.6475910e-01  3.0000000e-03
   2.835e+02    4.5770820e-01  3.0000000e-03
   2.940e+02    4.5763510e-01  3.0000000e-03
   3.045e+02    4.6382500e-01  3.0000000e-03
   3.150e+02    4.6546240e-01  3.0000000e-03
   3.255e+02    4.6286310e-01  3.0000000e-03
   3.360e+02    4.5942100e-01  3.0000000e-03
   3.465e+02    4.5915350e-01  3.0000000e-03
   3.570e+02    4.5841350e-01  3.0000000e-03
   3.675e+02    4.6050660e-01  3.0000000e-03
   3.780e+02    4.6143580e-01  3.0000000e-03
   3.885e+02    4.6538070e-01  3.0000000e-03
   3.990e+02    4.6283460e-01  3.0000000e-03
   4.095e+02    4.6268900e-01  3.0000000e-03
   4.200e+02    4.6049990e-01  3.0000000e-03
   4.305e+02    4.6419310e-01  3.0000000e-03
   4.410e+02    4.6236180e-01  3.0000000e-03
   4.515e+02    4.6114270e-01  3.0000000e-03
