#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.9071190e-01  3.0000000e-03
  -4.410e+02    4.8584850e-01  3.0000000e-03
  -4.305e+02    4.8790360e-01  3.0000000e-03
  -4.200e+02    4.8871970e-01  3.0000000e-03
  -4.095e+02    4.8989280e-01  3.0000000e-03
  -3.990e+02    4.8922720e-01  3.0000000e-03
  -3.885e+02    4.8826090e-01  3.0000000e-03
  -3.780e+02    4.8615020e-01  3.0000000e-03
  -3.675e+02    4.8719300e-01  3.0000000e-03
  -3.570e+02    4.8263230e-01  3.0000000e-03
  -3.465e+02    4.8754430e-01  3.0000000e-03
  -3.360e+02    4.8601750e-01  3.0000000e-03
  -3.255e+02    4.8666200e-01  3.0000000e-03
  -3.150e+02    4.8441740e-01  3.0000000e-03
  -3.045e+02    4.8101000e-01  3.0000000e-03
  -2.940e+02    4.8079880e-01  3.0000000e-03
  -2.835e+02    4.7561080e-01  3.0000000e-03
  -2.730e+02    4.7468540e-01  3.0000000e-03
  -2.625e+02    4.7131660e-01  3.0000000e-03
  -2.520e+02    4.6657470e-01  3.0000000e-03
  -2.415e+02    4.5956210e-01  3.0000000e-03
  -2.310e+02    4.5342080e-01  3.0000000e-03
  -2.205e+02    4.2686990e-01  3.0000000e-03
  -2.100e+02    3.9378450e-01  3.0000000e-03
  -1.995e+02    3.2176360e-01  3.0000000e-03
  -1.890e+02    1.8801280e-01  3.0000000e-03
  -1.785e+02    2.5909150e-02  3.0000000e-03
  -1.680e+02   -4.6731520e-03  3.0000000e-03
  -1.575e+02    1.4905180e-01  3.0000000e-03
  -1.470e+02    3.0473660e-01  3.0000000e-03
  -1.365e+02    3.8242680e-01  3.0000000e-03
  -1.260e+02    4.2211770e-01  3.0000000e-03
  -1.155e+02    4.4078470e-01  3.0000000e-03
  -1.050e+02    4.5420270e-01  3.0000000e-03
  -9.450e+01    4.5772130e-01  3.0000000e-03
  -8.400e+01    4.6271470e-01  3.0000000e-03
  -7.350e+01    4.6781780e-01  3.0000000e-03
  -6.300e+01    4.6973070e-01  3.0000000e-03
  -5.250e+01    4.6704970e-01  3.0000000e-03
  -4.200e+01    4.6186420e-01  3.0000000e-03
  -3.150e+01    4.5250850e-01  3.0000000e-03
  -2.100e+01    4.3933470e-01  3.0000000e-03
  -1.050e+01    4.4113490e-01  3.0000000e-03
   0.000e+00    4.6262850e-01  3.0000000e-03
   1.050e+01    4.7240470e-01  3.0000000e-03
   2.100e+01    4.8005870e-01  3.0000000e-03
   3.150e+01    4.7990110e-01  3.0000000e-03
   4.200e+01    4.8421730e-01  3.0000000e-03
   5.250e+01    4.7908380e-01  3.0000000e-03
   6.300e+01    4.8303350e-01  3.0000000e-03
   7.350e+01    4.8539070e-01  3.0000000e-03
   8.400e+01    4.8066060e-01  3.0000000e-03
   9.450e+01    4.8761390e-01  3.0000000e-03
   1.050e+02    4.8688600e-01  3.0000000e-03
   1.155e+02    4.8513570e-01  3.0000000e-03
   1.260e+02    4.8638190e-01  3.0000000e-03
   1.365e+02    4.8944640e-01  3.0000000e-03
   1.470e+02    4.9105730e-01  3.0000000e-03
   1.575e+02    4.8466250e-01  3.0000000e-03
   1.680e+02    4.8819490e-01  3.0000000e-03
   1.785e+02    4.8750610e-01  3.0000000e-03
   1.890e+02    4.8966720e-01  3.0000000e-03
   1.995e+02    4.8829120e-01  3.0000000e-03
   2.100e+02    4.8831620e-01  3.0000000e-03
   2.205e+02    4.9020310e-01  3.0000000e-03
   2.310e+02    4.8475580e-01  3.0000000e-03
   2.415e+02    4.9085710e-01  3.0000000e-03
   2.520e+02    4.8688450e-01  3.0000000e-03
   2.625e+02    4.8509860e-01  3.0000000e-03
   2.730e+02    4.8633500e-01  3.0000000e-03
   2.835e+02    4.9034470e-01  3.0000000e-03
   2.940e+02    4.8665940e-01  3.0000000e-03
   3.045e+02    4.8571500e-01  3.0000000e-03
   3.150e+02    4.8590000e-01  3.0000000e-03
   3.255e+02    4.8718190e-01  3.0000000e-03
   3.360e+02    4.9115350e-01  3.0000000e-03
   3.465e+02    4.8870880e-01  3.0000000e-03
   3.570e+02    4.8955250e-01  3.0000000e-03
   3.675e+02    4.8664580e-01  3.0000000e-03
   3.780e+02    4.8563150e-01  3.0000000e-03
   3.885e+02    4.8667800e-01  3.0000000e-03
   3.990e+02    4.8734070e-01  3.0000000e-03
   4.095e+02    4.8789100e-01  3.0000000e-03
   4.200e+02    4.8569510e-01  3.0000000e-03
   4.305e+02    4.8424840e-01  3.0000000e-03
   4.410e+02    4.8384640e-01  3.0000000e-03
   4.515e+02    4.8673680e-01  3.0000000e-03
