#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.7878620e-01  3.0000000e-03
  -4.410e+02    4.7725740e-01  3.0000000e-03
  -4.305e+02    4.8102020e-01  3.0000000e-03
  -4.200e+02    4.8290760e-01  3.0000000e-03
  -4.095e+02    4.7731180e-01  3.0000000e-03
  -3.990e+02    4.7879800e-01  3.0000000e-03
  -3.885e+02    4.8004360e-01  3.0000000e-03
  -3.780e+02    4.7875350e-01  3.0000000e-03
  -3.675e+02    4.7862490e-01  3.0000000e-03
  -3.570e+02    4.7825910e-01  3.0000000e-03
  -3.465e+02    4.7869630e-01  3.0000000e-03
  -3.360e+02    4.7776230e-01  3.0000000e-03
  -3.255e+02    4.7846970e-01  3.0000000e-03
  -3.150e+02    4.7890030e-01  3.0000000e-03
  -3.045e+02    4.8014890e-01  3.0000000e-03
  -2.940e+02    4.7450870e-01  3.0000000e-03
  -2.835e+02    4.7701050e-01  3.0000000e-03
  -2.730e+02    4.7734480e-01  3.0000000e-03
  -2.625e+02    4.7938450e-01  3.0000000e-03
  -2.520e+02    4.7767940e-01  3.0000000e-03
  -2.415e+02    4.7539350e-01  3.0000000e-03
  -2.310e+02    4.7650340e-01  3.0000000e-03
  -2.205e+02    4.7797560e-01  3.0000000e-03
  -2.100e+02    4.7318250e-01  3.0000000e-03
  -1.995e+02    4.7546310e-01  3.0000000e-03
  -1.890e+02    4.7620860e-01  3.0000000e-03
  -1.785e+02    4.7669940e-01  3.0000000e-03
  -1.680e+02    4.7148450e-01  3.0000000e-03
  -1.575e+02    4.7273040e-01  3.0000000e-03
  -1.470e+02    4.7202360e-01  3.0000000e-03
  -1.365e+02    4.7008250e-01  3.0000000e-03
  -1.260e+02    4.7191350e-01  3.0000000e-03
  -1.155e+02    4.6571760e-01  3.0000000e-03
  -1.050e+02    4.6284610e-01  3.0000000e-03
  -9.450e+01    4.6190900e-01  3.0000000e-03
  -8.400e+01    4.5528260e-01  3.0000000e-03
  -7.350e+01    4.4880340e-01  3.0000000e-03
  -6.300e+01    4.3610220e-01  3.0000000e-03
  -5.250e+01    4.2413200e-01  3.0000000e-03
  -4.200e+01    4.0401910e-01  3.0000000e-03
  -3.150e+01    3.5487930e-01  3.0000000e-03
  -2.100e+01    2.6468100e-01  3.0000000e-03
  -1.050e+01    8.4749730e-02  3.0000000e-03
   0.000e+00    2.2727520e-02  3.0000000e-03
   1.050e+01    5.8671100e-02  3.0000000e-03
   2.100e+01    2.3895180e-01  3.0000000e-03
   3.150e+01    3.4540740e-01  3.0000000e-03
   4.200e+01    3.9828940e-01  3.0000000e-03
   5.250e+01    4.2567320e-01  3.0000000e-03
   6.300e+01    4.3960500e-01  3.0000000e-03
   7.350e+01    4.5078190e-01  3.0000000e-03
   8.400e+01    4.5638980e-01  3.0000000e-03
   9.450e+01    4.6368700e-01  3.0000000e-03
   1.050e+02    4.6050290e-01  3.0000000e-03
   1.155e+02    4.6173900e-01  3.0000000e-03
   1.260e+02    4.6697050e-01  3.0000000e-03
   1.365e+02    4.6819050e-01  3.0000000e-03
   1.470e+02    4.6748190e-01  3.0000000e-03
   1.575e+02    4.6840350e-01  3.0000000e-03
   1.680e+02    4.5034120e-01  3.0000000e-03
   1.785e+02    4.2153280e-01  3.0000000e-03
   1.890e+02    4.5223740e-01  3.0000000e-03
   1.995e+02    4.6701750e-01  3.0000000e-03
   2.100e+02    4.7276490e-01  3.0000000e-03
   2.205e+02    4.7608600e-01  3.0000000e-03
   2.310e+02    4.7508500e-01  3.0000000e-03
   2.415e+02    4.7435050e-01  3.0000000e-03
   2.520e+02    4.7384990e-01  3.0000000e-03
   2.625e+02    4.7469030e-01  3.0000000e-03
   2.730e+02    4.7587260e-01  3.0000000e-03
   2.835e+02    4.7733530e-01  3.0000000e-03
   2.940e+02    4.8039940e-01  3.0000000e-03
   3.045e+02    4.7567930e-01  3.0000000e-03
   3.150e+02    4.7600370e-01  3.0000000e-03
   3.255e+02    4.7851230e-01  3.0000000e-03
   3.360e+02    4.7617570e-01  3.0000000e-03
   3.465e+02    4.7416650e-01  3.0000000e-03
   3.570e+02    4.8176570e-01  3.0000000e-03
   3.675e+02    4.7907630e-01  3.0000000e-03
   3.780e+02    4.7413330e-01  3.0000000e-03
   3.885e+02    4.7676180e-01  3.0000000e-03
   3.990e+02    4.7752880e-01  3.0000000e-03
   4.095e+02    4.7576080e-01  3.0000000e-03
   4.200e+02    4.7630760e-01  3.0000000e-03
   4.305e+02    4.8000840e-01  3.0000000e-03
   4.410e+02    4.7885950e-01  3.0000000e-03
   4.515e+02    4.7697470e-01  3.0000000e-03
