#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.8627190e-01  3.0000000e-03
  -4.410e+02    4.8034730e-01  3.0000000e-03
  -4.305e+02    4.7662250e-01  3.0000000e-03
  -4.200e+02    4.6943080e-01  3.0000000e-03
  -4.095e+02    4.5599660e-01  3.0000000e-03
  -3.990e+02    4.3510640e-01  3.0000000e-03
  -3.885e+02    3.9077410e-01  3.0000000e-03
  -3.780e+02    2.9498690e-01  3.0000000e-03
  -3.675e+02    1.2490430e-01  3.0000000e-03
  -3.570e+02    1.3571400e-02  3.0000000e-03
  -3.465e+02    8.0724060e-02  3.0000000e-03
  -3.360e+02    2.6634220e-01  3.0000000e-03
  -3.255e+02    3.7493870e-01  3.0000000e-03
  -3.150e+02    4.2167660e-01  3.0000000e-03
  -3.045e+02    4.5021690e-01  3.0000000e-03
  -2.940e+02    4.6247430e-01  3.0000000e-03
  -2.835e+02    4.7076880e-01  3.0000000e-03
  -2.730e+02    4.7955410e-01  3.0000000e-03
  -2.625e+02    4.8455740e-01  3.0000000e-03
  -2.520e+02    4.8645620e-01  3.0000000e-03
  -2.415e+02    4.8912170e-01  3.0000000e-03
  -2.310e+02    4.8815540e-01  3.0000000e-03
  -2.205e+02    4.9068180e-01  3.0000000e-03
  -2.100e+02    4.9206080e-01  3.0000000e-03
  -1.995e+02    4.9276810e-01  3.0000000e-03
  -1.890e+02    4.9192800e-01  3.0000000e-03
  -1.785e+02    4.9527700e-01  3.0000000e-03
  -1.680e+02    4.9464120e-01  3.0000000e-03
  -1.575e+02    4.9386020e-01  3.0000000e-03
  -1.470e+02    4.9508500e-01  3.0000000e-03
  -1.365e+02    4.9736840e-01  3.0000000e-03
  -1.260e+02    4.9701770e-01  3.0000000e-03
  -1.155e+02    4.9549410e-01  3.0000000e-03
  -1.050e+02    4.9458710e-01  3.0000000e-03
  -9.450e+01    4.9571130e-01  3.0000000e-03
  -8.400e+01    4.9704950e-01  3.0000000e-03
  -7.350e+01    4.9627940e-01  3.0000000e-03
  -6.300e+01    4.9381350e-01  3.0000000e-03
  -5.250e+01    4.9609680e-01  3.0000000e-03
  -4.200e+01    4.9554300e-01  3.0000000e-03
  -3.150e+01    4.9816910e-01  3.0000000e-03
  -2.100e+01    4.9737740e-01  3.0000000e-03
  -1.050e+01    4.9780800e-01  3.0000000e-03
   0.000e+00    4.9586240e-01  3.0000000e-03
   1.050e+01    4.9909300e-01  3.0000000e-03
   2.100e+01    4.9510670e-01  3.0000000e-03
   3.150e+01    4.9701470e-01  3.0000000e-03
   4.200e+01    4.9740940e-01  3.0000000e-03
   5.250e+01    4.9654320e-01  3.0000000e-03
   6.300e+01    4.9714310e-01  3.0000000e-03
   7.350e+01    4.9887610e-01  3.0000000e-03
   8.400e+01    4.9673030e-01  3.0000000e-03
   9.450e+01    4.9482180e-01  3.0000000e-03
   1.050e+02    4.9711620e-01  3.0000000e-03
   1.155e+02    4.9705970e-01  3.0000000e-03
   1.260e+02    4.9713170e-01  3.0000000e-03
   1.365e+02    4.9585560e-01  3.0000000e-03
   1.470e+02    4.9701330e-01  3.0000000e-03
   1.575e+02    4.9409550e-01  3.0000000e-03
   1.680e+02    4.9666750e-01  3.0000000e-03
   1.785e+02    4.9487620e-01  3.0000000e-03
   1.890e+02    4.9816250e-01  3.0000000e-03
   1.995e+02    4.9752370e-01  3.0000000e-03
   2.100e+02    4.9817200e-01  3.0000000e-03
   2.205e+02    4.9582340e-01  3.0000000e-03
   2.310e+02    4.9548470e-01  3.0000000e-03
   2.415e+02    4.9606080e-01  3.0000000e-03
   2.520e+02    4.9801050e-01  3.0000000e-03
   2.625e+02    4.9465950e-01  3.0000000e-03
   2.730e+02    4.9549440e-01  3.0000000e-03
   2.835e+02    4.9482110e-01  3.0000000e-03
   2.940e+02    4.9331100e-01  3.0000000e-03
   3.045e+02    4.9315560e-01  3.0000000e-03
   3.150e+02    4.9558730e-01  3.0000000e-03
   3.255e+02    4.9664430e-01  3.0000000e-03
   3.360e+02    4.9421970e-01  3.0000000e-03
   3.465e+02    4.9389500e-01  3.0000000e-03
   3.570e+02    4.9329640e-01  3.0000000e-03
   3.675e+02    4.9423180e-01  3.0000000e-03
   3.780e+02    4.9427690e-01  3.0000000e-03
   3.885e+02    4.9140370e-01  3.0000000e-03
   3.990e+02    4.9115410e-01  3.0000000e-03
   4.095e+02    4.8821100e-01  3.0000000e-03
   4.200e+02    4.8699190e-01  3.0000000e-03
   4.305e+02    4.8826400e-01  3.0000000e-03
   4.410e+02    4.8287700e-01  3.0000000e-03
   4.515e+02    4.8519760e-01  3.0000000e-03
