#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+00  3.0000000e-03
  -4.515e+02    4.5748490e-01  3.0000000e-03
  -4.410e+02    4.6266420e-01  3.0000000e-03
  -4.305e+02    4.6422900e-01  3.0000000e-03
  -4.200e+02    4.6688090e-01  3.0000000e-03
  -4.095e+02    4.7186420e-01  3.0000000e-03
  -3.990e+02    4.7159290e-01  3.0000000e-03
  -3.885e+02    4.7158810e-01  3.0000000e-03
  -3.780e+02    4.7202230e-01  3.0000000e-03
  -3.675e+02    4.7383130e-01  3.0000000e-03
  -3.570e+02    4.7125590e-01  3.0000000e-03
  -3.465e+02    4.7258510e-01  3.0000000e-03
  -3.360e+02    4.7053230e-01  3.0000000e-03
  -3.255e+02    4.7407620e-01  3.0000000e-03
  -3.150e+02    4.7390570e-01  3.0000000e-03
  -3.045e+02    4.7450450e-01  3.0000000e-03
  -2.940e+02    4.7481550e-01  3.0000000e-03
  -2.835e+02    4.7094970e-01  3.0000000e-03
  -2.730e+02    4.7629150e-01  3.0000000e-03
  -2.625e+02    4.7553640e-01  3.0000000e-03
  -2.520e+02    4.7420660e-01  3.0000000e-03
  -2.415e+02    4.7518960e-01  3.0000000e-03
  -2.310e+02    4.7438510e-01  3.0000000e-03
  -2.205e+02    4.7397150e-01  3.0000000e-03
  -2.100e+02    4.7581630e-01  3.0000000e-03
  -1.995e+02    4.7804370e-01  3.0000000e-03
  -1.890e+02    4.7390200e-01  3.0000000e-03
  -1.785e+02    4.7860510e-01  3.0000000e-03
  -1.680e+02    4.7587980e-01  3.0000000e-03
  -1.575e+02    4.7643230e-01  3.0000000e-03
  -1.470e+02    4.7647980e-01  3.0000000e-03
  -1.365e+02    4.7648600e-01  3.0000000e-03
  -1.260e+02    4.7817550e-01  3.0000000e-03
  -1.155e+02    4.7717750e-01  3.0000000e-03
  -1.050e+02    4.7907510e-01  3.0000000e-03
  -9.450e+01    4.7513400e-01  3.0000000e-03
  -8.400e+01    4.7330330e-01  3.0000000e-03
  -7.350e+01    4.7630630e-01  3.0000000e-03
  -6.300e+01    4.7578470e-01  3.0000000e-03
  -5.250e+01    4.7613390e-01  3.0000000e-03
  -4.200e+01    4.7387760e-01  3.0000000e-03
  -3.150e+01    4.7557270e-01  3.0000000e-03
  -2.100e+01    4.7337700e-01  3.0000000e-03
  -1.050e+01    4.7219360e-01  3.0000000e-03
   0.000e+00    4.6982400e-01  3.0000000e-03
   1.050e+01    4.7045780e-01  3.0000000e-03
   2.100e+01    4.6672030e-01  3.0000000e-03
   3.150e+01    4.5874110e-01  3.0000000e-03
   4.200e+01    4.4492710e-01  3.0000000e-03
   5.250e+01    4.3298280e-01  3.0000000e-03
   6.300e+01    4.4701070e-01  3.0000000e-03
   7.350e+01    4.6008910e-01  3.0000000e-03
   8.400e+01    4.6435260e-01  3.0000000e-03
   9.450e+01    4.6844370e-01  3.0000000e-03
   1.050e+02    4.7226140e-01  3.0000000e-03
   1.155e+02    4.7163280e-01  3.0000000e-03
   1.260e+02    4.7065920e-01  3.0000000e-03
   1.365e+02    4.7353250e-01  3.0000000e-03
   1.470e+02    4.7069140e-01  3.0000000e-03
   1.575e+02    4.7055240e-01  3.0000000e-03
   1.680e+02    4.6910030e-01  3.0000000e-03
   1.785e+02    4.6794010e-01  3.0000000e-03
   1.890e+02    4.6794990e-01  3.0000000e-03
   1.995e+02    4.7477040e-01  3.0000000e-03
   2.100e+02    4.7132990e-01  3.0000000e-03
   2.205e+02    4.6443030e-01  3.0000000e-03
   2.310e+02    4.6402840e-01  3.0000000e-03
   2.415e+02    4.6389410e-01  3.0000000e-03
   2.520e+02    4.6005760e-01  3.0000000e-03
   2.625e+02    4.5689590e-01  3.0000000e-03
   2.730e+02    4.5393410e-01  3.0000000e-03
   2.835e+02    4.4651290e-01  3.0000000e-03
   2.940e+02    4.3641420e-01  3.0000000e-03
   3.045e+02    4.2114370e-01  3.0000000e-03
   3.150e+02    3.9963510e-01  3.0000000e-03
   3.255e+02    3.4887090e-01  3.0000000e-03
   3.360e+02    2.4637640e-01  3.0000000e-03
   3.465e+02    7.8180400e-02  3.0000000e-03
   3.570e+02    1.9583950e-02  3.0000000e-03
   3.675e+02    5.8574900e-02  3.0000000e-03
   3.780e+02    2.3825490e-01  3.0000000e-03
   3.885e+02    3.4661980e-01  3.0000000e-03
   3.990e+02    3.9379210e-01  3.0000000e-03
   4.095e+02    4.2133300e-01  3.0000000e-03
   4.200e+02    4.3431580e-01  3.0000000e-03
   4.305e+02    4.5160650e-01  3.0000000e-03
   4.410e+02    4.5797400e-01  3.0000000e-03
   4.515e+02    4.5880890e-01  3.0000000e-03
