#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    2.4060590e+07  2.4060590e+05
   7.500e+01    6.2581595e+06  2.4060590e+05
   7.000e+01    6.3086867e+06  2.4060590e+05
   6.500e+01    6.2798140e+06  2.4060590e+05
   6.000e+01    6.1691353e+06  2.4060590e+05
   5.500e+01    6.0993596e+06  2.4060590e+05
   5.000e+01    5.9261233e+06  2.4060590e+05
   4.500e+01    5.6470205e+06  2.4060590e+05
   4.000e+01    5.2861116e+06  2.4060590e+05
   3.500e+01    4.7086575e+06  2.4060590e+05
   3.000e+01    3.8496944e+06  2.4060590e+05
   2.500e+01    2.5817013e+06  2.4060590e+05
   2.000e+01    1.1404720e+06  2.4060590e+05
   1.500e+01    1.9970290e+05  2.4060590e+05
   1.000e+01    8.1806006e+04  2.4060590e+05
   5.000e+00    2.2616955e+05  2.4060590e+05
   0.000e+00    9.5520542e+05  2.4060590e+05
  -5.000e+00    2.1293622e+06  2.4060590e+05
  -1.000e+01    3.0917858e+06  2.4060590e+05
  -1.500e+01    3.7775126e+06  2.4060590e+05
  -2.000e+01    4.2178214e+06  2.4060590e+05
  -2.500e+01    4.3621850e+06  2.4060590e+05
  -3.000e+01    4.1745124e+06  2.4060590e+05
  -3.500e+01    3.5104401e+06  2.4060590e+05
  -4.000e+01    2.6177922e+06  2.4060590e+05
  -4.500e+01    2.5023014e+06  2.4060590e+05
  -5.000e+01    3.6908945e+06  2.4060590e+05
  -5.500e+01    4.8674574e+06  2.4060590e+05
  -6.000e+01    5.5387478e+06  2.4060590e+05
  -6.500e+01    5.9285294e+06  2.4060590e+05
  -7.000e+01    6.1811656e+06  2.4060590e+05
  -7.500e+01    6.2774079e+06  2.4060590e+05
