#
#       Peak Name  Conv_flg Overlap_flg
#         116N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   110.194     6.437
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1015456e+02  1.0668679e-03
# w1(Hz)        2.3561484e+01  1.9515323e-01
# g1            4.2909677e-01  5.5056865e-02
# f02(ppm)      6.4260218e+00  9.0102336e-05
# w2(Hz)        2.1065189e+01  1.4470233e-01
# g2            7.9789841e-01  4.1335749e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    2.4382871e+03  7.0412376e+01
   3.000e+01    1.6002860e+03  5.5473624e+01
   1.000e+00    1.4542851e+03  5.3193135e+01
   2.700e+01    1.7708077e+03  5.8281626e+01
   2.000e+00    1.0550394e+03  4.7674064e+01
   2.400e+01    1.6812802e+03  5.6789225e+01
   3.000e+00    2.0947620e+03  6.3973431e+01
   2.100e+01    1.9954880e+03  6.2184924e+01
   4.000e+00    1.9640549e+03  6.1626340e+01
   1.800e+01    2.2774071e+03  6.7352321e+01
   5.000e+00    1.7099276e+03  5.7262531e+01
   1.500e+01    1.5019655e+03  5.3924339e+01
   6.000e+00    1.7085758e+03  5.7240111e+01
   1.200e+01    1.4659949e+03  5.3371439e+01
   7.000e+00    1.9858839e+03  6.2013855e+01
   1.000e+01    1.9607982e+03  6.1568668e+01
   8.000e+00    1.8712490e+03  6.0000174e+01
   4.000e+00    1.8349153e+03  5.9373357e+01
   1.000e+00    1.1861542e+03  4.9356886e+01
   2.700e+01    2.0671809e+03  6.3472929e+01
