#
#       Peak Name  Conv_flg Overlap_flg
#          53N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   115.366     8.018
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1536653e+02  9.7750716e-05
# w1(Hz)        1.6782781e+01  1.7013915e-02
# g1            5.6005681e-01  4.6968372e-03
# f02(ppm)      8.0184348e+00  1.4121753e-05
# w2(Hz)        2.3049383e+01  2.5985636e-02
# g2            3.2529294e-01  4.2718089e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.4668862e+04  1.2754454e+02
   3.000e+01    3.7697545e+04  1.1766113e+02
   1.000e+00    3.3313883e+04  1.1193890e+02
   2.800e+01    3.7684002e+04  1.1764282e+02
   2.000e+00    3.4401931e+04  1.1331937e+02
   2.600e+01    3.8368574e+04  1.1857306e+02
   3.000e+00    3.5735898e+04  1.1504853e+02
   2.400e+01    3.7804673e+04  1.1780611e+02
   4.000e+00    3.7046516e+04  1.1678513e+02
   2.200e+01    3.8244407e+04  1.1840364e+02
   5.000e+00    3.7310368e+04  1.1713911e+02
   2.000e+01    3.8069586e+04  1.1816562e+02
   6.000e+00    3.7588822e+04  1.1751423e+02
   1.800e+01    3.8003863e+04  1.1807630e+02
   7.000e+00    3.7606374e+04  1.1753793e+02
   1.600e+01    3.7994218e+04  1.1806320e+02
   8.000e+00    3.7845416e+04  1.1786131e+02
   1.400e+01    3.8042809e+04  1.1812922e+02
   9.000e+00    3.7842394e+04  1.1785722e+02
   1.300e+01    3.8074202e+04  1.1817190e+02
   1.000e+01    3.7812968e+04  1.1781735e+02
   1.200e+01    3.7673553e+04  1.1762869e+02
   1.100e+01    3.7704512e+04  1.1767055e+02
   2.000e+00    3.4390208e+04  1.1330435e+02
   2.800e+01    3.7948734e+04  1.1800144e+02
   8.000e+00    3.7316541e+04  1.1714741e+02
