#
#       Peak Name  Conv_flg Overlap_flg
#          33N-HN         1           7
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   119.617     8.577
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1964727e+02  3.8799755e-04
# w1(Hz)        1.8009625e+01  5.5842825e-02
# g1            5.2648125e-01  1.6240304e-02
# f02(ppm)      8.5760166e+00  4.9952731e-05
# w2(Hz)        2.1960714e+01  7.3601896e-02
# g2            3.5698411e-01  1.1698287e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    2.4464841e+04  2.4850916e+02
   3.000e+01    2.2201008e+04  2.3543897e+02
   1.000e+00    1.3784365e+04  1.9632415e+02
   2.700e+01    2.2538579e+04  2.3706822e+02
   2.000e+00    1.5294731e+04  2.0262924e+02
   2.400e+01    2.2440391e+04  2.3662205e+02
   3.000e+00    1.7184003e+04  2.1090532e+02
   2.100e+01    2.2042457e+04  2.3451679e+02
   4.000e+00    1.8967140e+04  2.1928074e+02
   1.800e+01    2.2334810e+04  2.3605969e+02
   5.000e+00    1.9712212e+04  2.2282531e+02
   1.500e+01    2.2098002e+04  2.3481832e+02
   6.000e+00    2.0619417e+04  2.2734026e+02
   1.200e+01    2.1798182e+04  2.3328966e+02
   7.000e+00    2.1013122e+04  2.2931186e+02
   1.000e+01    2.1645249e+04  2.3248550e+02
   8.000e+00    2.1205807e+04  2.3032506e+02
   4.000e+00    1.8795205e+04  2.1837479e+02
   1.000e+00    1.3435195e+04  1.9496701e+02
   2.700e+01    2.2534431e+04  2.3717272e+02
