#
#       Peak Name  Conv_flg Overlap_flg
#          59N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   123.877     7.413
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2389684e+02  8.1428726e-05
# w1(Hz)        1.5337528e+01  1.9759893e-02
# g1            7.2112016e-01  5.0881888e-03
# f02(ppm)      7.4113681e+00  8.5792581e-06
# w2(Hz)        1.5573217e+01  2.1396682e-02
# g2            5.5254059e-01  4.3812707e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    1.1027017e+05  4.7660611e+02
   3.000e+01    1.0587875e+05  4.7260960e+02
   1.000e+00    1.0553393e+05  4.7230127e+02
   2.700e+01    1.0539218e+05  4.7217476e+02
   2.000e+00    1.0508000e+05  4.7189661e+02
   2.400e+01    1.0539991e+05  4.7218166e+02
   3.000e+00    1.0525059e+05  4.7204852e+02
   2.100e+01    1.0573715e+05  4.7248290e+02
   4.000e+00    1.0547421e+05  4.7224796e+02
   1.800e+01    1.0595938e+05  4.7268182e+02
   5.000e+00    1.0545565e+05  4.7223139e+02
   1.500e+01    1.0537491e+05  4.7215935e+02
   6.000e+00    1.0549342e+05  4.7226510e+02
   1.200e+01    1.0547941e+05  4.7225259e+02
   7.000e+00    1.0542542e+05  4.7220442e+02
   1.000e+01    1.0540257e+05  4.7218402e+02
   8.000e+00    1.0557444e+05  4.7233746e+02
   4.000e+00    1.0553200e+05  4.7229955e+02
   1.000e+00    1.0533281e+05  4.7212180e+02
   2.700e+01    1.0556733e+05  4.7233110e+02
