#
#       Peak Name  Overlap_group
#        1001N-HN              3
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   115.513     7.950
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1552058e+02  1.1459217e-04 
# w1(Hz)        9.2110523e+00  1.0654207e-02 
# g1            1.1940893e+00  5.7384825e-03 
# f02(ppm)      7.9499929e+00  2.2991867e-05 
# w2(Hz)        1.8968577e+01  2.1834697e-02 
# g2            1.0742844e+00  5.3278780e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.5316156e+04  1.4012398e+02
   4.000e+01    2.6551069e+04  1.1205549e+02
   2.000e+00    2.5818399e+04  1.1018656e+02
   3.600e+01    2.6531181e+04  1.1185320e+02
   4.000e+00    2.6306664e+04  1.1142655e+02
   3.200e+01    2.6380425e+04  1.1157732e+02
   6.000e+00    2.6094890e+04  1.1104515e+02
   2.800e+01    2.6194785e+04  1.1098969e+02
   8.000e+00    2.5928811e+04  1.1061882e+02
   2.400e+01    2.6183261e+04  1.1098755e+02
   1.000e+01    2.6169677e+04  1.1116076e+02
   2.000e+01    2.5997563e+04  1.1066652e+02
   1.200e+01    2.6032810e+04  1.1072876e+02
   1.600e+01    2.5927292e+04  1.1056649e+02
   3.600e+01    2.6535050e+04  1.1191826e+02
   2.400e+01    2.6273315e+04  1.1115296e+02
   8.000e+00    2.6295931e+04  1.1122502e+02
