#
#       Peak Name  Overlap_group
#          17N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   124.496     8.007
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2449726e+02  6.2535446e-05 
# w1(Hz)        8.8021569e+00  8.6915812e-03 
# g1            1.0123341e+00  4.8573397e-03 
# f02(ppm)      8.0064893e+00  1.3660268e-05 
# w2(Hz)        1.9074758e+01  1.8760456e-02 
# g2            1.0704510e+00  5.2509099e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.6022409e+04  9.7349912e+01
   4.000e+01    2.5762040e+04  8.3063814e+01
   2.000e+00    2.5126233e+04  8.2267518e+01
   3.600e+01    2.5561400e+04  8.2811208e+01
   4.000e+00    2.5579811e+04  8.2832992e+01
   3.200e+01    2.5517449e+04  8.2755288e+01
   6.000e+00    2.5317301e+04  8.2505453e+01
   2.800e+01    2.5492200e+04  8.2724129e+01
   8.000e+00    2.5410388e+04  8.2621093e+01
   2.400e+01    2.5614477e+04  8.2877891e+01
   1.000e+01    2.5389098e+04  8.2596172e+01
   2.000e+01    2.5476231e+04  8.2704797e+01
   1.200e+01    2.5402299e+04  8.2611866e+01
   1.600e+01    2.5489751e+04  8.2720959e+01
   3.600e+01    2.5738203e+04  8.3033824e+01
   2.400e+01    2.5290493e+04  8.2472285e+01
   8.000e+00    2.5379614e+04  8.2582778e+01
