#
#       Peak Name  Overlap_group
#          18N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   117.116     8.187
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1711400e+02  5.7669137e-05 
# w1(Hz)        8.8696250e+00  8.0987325e-03 
# g1            9.6943350e-01  4.3288800e-03 
# f02(ppm)      8.1864999e+00  1.2275957e-05 
# w2(Hz)        1.8693362e+01  1.7041114e-02 
# g2            1.0082936e+00  4.5976375e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.9690169e+04  9.6292007e+01
   4.000e+01    2.8198668e+04  8.2196881e+01
   2.000e+00    2.7922914e+04  8.1892303e+01
   3.600e+01    2.7962427e+04  8.1936395e+01
   4.000e+00    2.7936013e+04  8.1905781e+01
   3.200e+01    2.8057318e+04  8.2039895e+01
   6.000e+00    2.8027350e+04  8.2007328e+01
   2.800e+01    2.7775209e+04  8.1729619e+01
   8.000e+00    2.7888828e+04  8.1854316e+01
   2.400e+01    2.7974116e+04  8.1947850e+01
   1.000e+01    2.7954820e+04  8.1926461e+01
   2.000e+01    2.7792593e+04  8.1748834e+01
   1.200e+01    2.7799756e+04  8.1758037e+01
   1.600e+01    2.7804980e+04  8.1763020e+01
   3.600e+01    2.7840766e+04  8.1801219e+01
   2.400e+01    2.7690607e+04  8.1637215e+01
   8.000e+00    2.7939404e+04  8.1910120e+01
