#
#       Peak Name  Overlap_group
#          19N-HN              1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   118.879     7.934
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1887513e+02  5.7947308e-05 
# w1(Hz)        9.0570948e+00  7.7295919e-03 
# g1            1.1529620e+00  4.7481511e-03 
# f02(ppm)      7.9328756e+00  1.5446961e-05 
# w2(Hz)        1.8593030e+01  1.9012036e-02 
# g2            1.1038768e+00  6.7899343e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.0005393e+04  1.3137559e+02
   4.000e+01    2.8927552e+04  1.0492886e+02
   2.000e+00    2.8798082e+04  1.0386241e+02
   3.600e+01    2.8954099e+04  1.0493224e+02
   4.000e+00    2.9219822e+04  1.0479248e+02
   3.200e+01    2.8723561e+04  1.0444073e+02
   6.000e+00    2.8900986e+04  1.0432448e+02
   2.800e+01    2.8858136e+04  1.0460249e+02
   8.000e+00    2.8910754e+04  1.0439689e+02
   2.400e+01    2.8685244e+04  1.0429189e+02
   1.000e+01    2.8932493e+04  1.0449713e+02
   2.000e+01    2.8872825e+04  1.0456589e+02
   1.200e+01    2.8957007e+04  1.0455428e+02
   1.600e+01    2.8641892e+04  1.0410178e+02
   3.600e+01    2.8854507e+04  1.0478510e+02
   2.400e+01    2.8567977e+04  1.0404587e+02
   8.000e+00    2.8857565e+04  1.0432622e+02
