#
#       Peak Name  Overlap_group
#          50N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   108.552     7.312
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.0855174e+02  6.1721207e-05 
# w1(Hz)        1.2022197e+01  1.0151498e-02 
# g1            4.5465886e-01  2.4744211e-03 
# f02(ppm)      7.3123108e+00  1.0828360e-05 
# w2(Hz)        2.1939460e+01  1.5846407e-02 
# g2            8.2904213e-01  3.1974347e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.1144561e+04  5.0664095e+01
   4.000e+01    2.2150531e+04  4.3398893e+01
   2.000e+00    1.7499693e+04  4.0256492e+01
   3.600e+01    2.1966908e+04  4.3265702e+01
   4.000e+00    1.7620836e+04  4.0331615e+01
   3.200e+01    2.1580087e+04  4.2987330e+01
   6.000e+00    1.7640151e+04  4.0343769e+01
   2.800e+01    2.1229731e+04  4.2737798e+01
   8.000e+00    1.7944628e+04  4.0534732e+01
   2.400e+01    2.0565452e+04  4.2272308e+01
   1.000e+01    1.8932390e+04  4.1170227e+01
   2.000e+01    2.0692817e+04  4.2360637e+01
   1.200e+01    1.9007492e+04  4.1219507e+01
   1.600e+01    1.9685184e+04  4.1670627e+01
   3.600e+01    2.1765300e+04  4.3120233e+01
   2.400e+01    2.0961244e+04  4.2548441e+01
   8.000e+00    1.7883272e+04  4.0496026e+01
