#
#       Peak Name  Overlap_group
#           8N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   116.496     8.170
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1649781e+02  5.2968529e-04 
# w1(Hz)        1.0080620e+01  8.1145963e-02 
# g1            6.4218959e-01  2.8175320e-02 
# f02(ppm)      8.1701086e+00  1.1679588e-04 
# w2(Hz)        2.2431560e+01  1.7191665e-01 
# g2            8.1155485e-01  3.3504489e-02 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.7946261e+04  2.9657451e+02
   4.000e+01    1.0278036e+04  2.2811224e+02
   2.000e+00    9.9216057e+03  2.2548073e+02
   3.600e+01    1.0033426e+04  2.2629672e+02
   4.000e+00    1.0106448e+04  2.2683789e+02
   3.200e+01    1.0081715e+04  2.2665342e+02
   6.000e+00    9.9270649e+03  2.2552517e+02
   2.800e+01    9.9350872e+03  2.2557330e+02
   8.000e+00    9.7532036e+03  2.2425789e+02
   2.400e+01    9.9392206e+03  2.2560461e+02
   1.000e+01    1.0073302e+04  2.2659905e+02
   2.000e+01    9.8921100e+03  2.2526338e+02
   1.200e+01    9.7673175e+03  2.2435842e+02
   1.600e+01    9.8254062e+03  2.2477712e+02
   3.600e+01    1.0196628e+04  2.2750456e+02
   2.400e+01    1.0043137e+04  2.2637550e+02
   8.000e+00    1.0080358e+04  2.2664997e+02
