#
#       Peak Name  Overlap_group
#          26N-HN              3
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   115.953     7.591
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1595520e+02  3.9061047e-05 
# w1(Hz)        1.4431228e+01  8.9871393e-03 
# g1            8.8076539e-01  2.7740644e-03 
# f02(ppm)      7.5911050e+00  5.2054221e-06 
# w2(Hz)        1.9109352e+01  1.1410010e-02 
# g2            9.8545158e-01  2.8460359e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.1862344e+04  1.4592875e+02
   4.000e+01    6.5771402e+04  1.2534909e+02
   2.000e+00    6.4380272e+04  1.2429529e+02
   3.600e+01    6.5674990e+04  1.2527656e+02
   4.000e+00    6.4114363e+04  1.2411706e+02
   3.200e+01    6.5296488e+04  1.2500630e+02
   6.000e+00    6.4099304e+04  1.2410703e+02
   2.800e+01    6.5213691e+04  1.2493866e+02
   8.000e+00    6.4238024e+04  1.2421140e+02
   2.400e+01    6.5228216e+04  1.2494546e+02
   1.000e+01    6.4596428e+04  1.2447101e+02
   2.000e+01    6.4611343e+04  1.2450241e+02
   1.200e+01    6.4847411e+04  1.2465076e+02
   1.600e+01    6.4400197e+04  1.2434684e+02
   3.600e+01    6.5794782e+04  1.2536070e+02
   2.400e+01    6.5212936e+04  1.2493306e+02
   8.000e+00    6.4213747e+04  1.2419502e+02
