#
#       Peak Name  Overlap_group
#          42N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.534     7.373
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1453472e+02  3.0056192e-05 
# w1(Hz)        1.3244691e+01  6.5081939e-03 
# g1            1.1432854e+00  2.6968693e-03 
# f02(ppm)      7.3738383e+00  4.9317269e-06 
# w2(Hz)        2.0851753e+01  1.1072293e-02 
# g2            9.0305234e-01  2.3430623e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.2003195e+04  1.0981730e+02
   4.000e+01    5.7186058e+04  9.2312853e+01
   2.000e+00    5.1411739e+04  8.8770891e+01
   3.600e+01    5.7019859e+04  9.2207077e+01
   4.000e+00    5.1477517e+04  8.8808753e+01
   3.200e+01    5.6432005e+04  9.1835106e+01
   6.000e+00    5.1035843e+04  8.8547046e+01
   2.800e+01    5.6155519e+04  9.1665225e+01
   8.000e+00    5.1709425e+04  8.8945462e+01
   2.400e+01    5.5917725e+04  9.1513580e+01
   1.000e+01    5.2227615e+04  8.9255383e+01
   2.000e+01    5.4142159e+04  9.0414983e+01
   1.200e+01    5.3265402e+04  8.9882947e+01
   1.600e+01    5.4474302e+04  9.0617706e+01
   3.600e+01    5.6860988e+04  9.2104683e+01
   2.400e+01    5.5938909e+04  9.1525352e+01
   8.000e+00    5.1919414e+04  8.9070098e+01
