#
#       Peak Name  Overlap_group
#           8N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   116.510     8.170
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1650649e+02  3.2788853e-04 
# w1(Hz)        1.3663643e+01  7.2934343e-02 
# g1            1.0112475e+00  2.6066024e-02 
# f02(ppm)      8.1699847e+00  5.9079760e-05 
# w2(Hz)        2.3532000e+01  1.3823020e-01 
# g2            7.4880878e-01  2.2600869e-02 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.8513554e+04  4.8611397e+02
   4.000e+01    2.1656176e+04  3.6776940e+02
   2.000e+00    1.9863636e+04  3.5754061e+02
   3.600e+01    2.1641713e+04  3.6770120e+02
   4.000e+00    1.9712998e+04  3.5672895e+02
   3.200e+01    2.1383951e+04  3.6615730e+02
   6.000e+00    1.9590087e+04  3.5604369e+02
   2.800e+01    2.1268520e+04  3.6549910e+02
   8.000e+00    2.0107326e+04  3.5888175e+02
   2.400e+01    2.1312937e+04  3.6576466e+02
   1.000e+01    2.0520742e+04  3.6121345e+02
   2.000e+01    2.0946250e+04  3.6364246e+02
   1.200e+01    2.0665973e+04  3.6202936e+02
   1.600e+01    2.0812681e+04  3.6287512e+02
   3.600e+01    2.1677821e+04  3.6785674e+02
   2.400e+01    2.1080165e+04  3.6443239e+02
   8.000e+00    2.0010889e+04  3.5836643e+02
