#
#       Peak Name  Overlap_group
#          63N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   120.063     8.599
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2007382e+02  8.1788476e-05 
# w1(Hz)        1.0470407e+01  1.1369302e-02 
# g1            1.0463834e+00  5.5930951e-03 
# f02(ppm)      8.5990010e+00  1.5223506e-05 
# w2(Hz)        1.8992131e+01  2.1464816e-02 
# g2            9.3825220e-01  5.3713462e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    4.2289392e+04  1.4030824e+02
   3.000e+01    3.7247460e+04  1.3320641e+02
   2.000e+00    3.7081781e+04  1.3298252e+02
   2.800e+01    3.6912881e+04  1.3275484e+02
   4.000e+00    3.7340944e+04  1.3333499e+02
   2.600e+01    3.6862089e+04  1.3268714e+02
   6.000e+00    3.7262272e+04  1.3322601e+02
   2.400e+01    3.7143364e+04  1.3306657e+02
   8.000e+00    3.7187954e+04  1.3312650e+02
   2.200e+01    3.7053141e+04  1.3294440e+02
   1.000e+01    3.7011310e+04  1.3288840e+02
   2.000e+01    3.7071033e+04  1.3296886e+02
   1.200e+01    3.6832805e+04  1.3264925e+02
   1.800e+01    3.7062438e+04  1.3295675e+02
   1.400e+01    3.7042557e+04  1.3293136e+02
   1.600e+01    3.7042719e+04  1.3293082e+02
   2.800e+01    3.7090587e+04  1.3299449e+02
   1.200e+01    3.7133366e+04  1.3305306e+02
