#
#       Peak Name  Overlap_group
#           6N-HN              0
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   121.803     8.100
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2180351e+02  1.0144462e-04 
# w1(Hz)        1.0826355e+01  1.4255444e-02 
# g1            8.6476201e-01  5.7780025e-03 
# f02(ppm)      8.1001502e+00  2.1025200e-05 
# w2(Hz)        2.1347165e+01  3.2524939e-02 
# g2            6.0377905e-01  6.1731969e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    5.2510483e+04  1.9195292e+02
   3.000e+01    4.0382889e+04  1.7025260e+02
   2.000e+00    3.9849023e+04  1.6933582e+02
   2.800e+01    4.0076998e+04  1.6976690e+02
   4.000e+00    4.0065625e+04  1.6969510e+02
   2.600e+01    4.0141304e+04  1.6987610e+02
   6.000e+00    4.0127010e+04  1.6981528e+02
   2.400e+01    4.0441269e+04  1.7035334e+02
   8.000e+00    4.0485145e+04  1.7038964e+02
   2.200e+01    4.0305168e+04  1.7012650e+02
   1.000e+01    4.0229114e+04  1.6997584e+02
   2.000e+01    3.9939807e+04  1.6954913e+02
   1.200e+01    4.0123790e+04  1.6980819e+02
   1.800e+01    4.0204792e+04  1.6998278e+02
   1.400e+01    4.0387483e+04  1.7023178e+02
   1.600e+01    4.0260605e+04  1.7003558e+02
   2.800e+01    3.9959573e+04  1.6955782e+02
   1.200e+01    4.0074114e+04  1.6973639e+02
