#
#       Peak Name  Overlap_group
#          11N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   121.984     7.730
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2198415e+02  4.2252980e-05 
# w1(Hz)        1.3404905e+01  8.9726466e-03 
# g1            1.2603663e+00  4.0557032e-03 
# f02(ppm)      7.7304794e+00  6.6230399e-06 
# w2(Hz)        2.0251181e+01  1.4458432e-02 
# g2            1.0245435e+00  3.5379899e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    9.6156667e+04  2.0749058e+02
   3.000e+01    8.0417750e+04  1.9202198e+02
   2.000e+00    7.9965635e+04  1.9160403e+02
   2.800e+01    8.0221497e+04  1.9183851e+02
   4.000e+00    7.9582869e+04  1.9124371e+02
   2.600e+01    8.0097437e+04  1.9172281e+02
   6.000e+00    7.9676977e+04  1.9133480e+02
   2.400e+01    8.0325080e+04  1.9193509e+02
   8.000e+00    8.0219535e+04  1.9183558e+02
   2.200e+01    8.0334894e+04  1.9194615e+02
   1.000e+01    8.0511835e+04  1.9210893e+02
   2.000e+01    8.0418404e+04  1.9202271e+02
   1.200e+01    8.0142374e+04  1.9176871e+02
   1.800e+01    8.0232864e+04  1.9185007e+02
   1.400e+01    8.0306044e+04  1.9191398e+02
   1.600e+01    8.0186315e+04  1.9180522e+02
   2.800e+01    8.0355828e+04  1.9196453e+02
   1.200e+01    7.9994734e+04  1.9162227e+02
