#
#       Peak Name  Overlap_group
#          49N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   121.297     8.339
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2129684e+02  1.6365807e-04 
# w1(Hz)        1.4177449e+01  3.7104490e-02 
# g1            9.4954089e-01  1.2019663e-02 
# f02(ppm)      8.3395333e+00  2.4177688e-05 
# w2(Hz)        2.0489937e+01  5.5222042e-02 
# g2            8.3290868e-01  1.1175644e-02 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    7.6899986e+04  5.2652432e+02
   3.000e+01    6.0652614e+04  4.7588843e+02
   2.000e+00    5.1009394e+04  4.4954157e+02
   2.800e+01    6.0213688e+04  4.7463985e+02
   4.000e+00    5.1274921e+04  4.5013097e+02
   2.600e+01    5.9518601e+04  4.7260826e+02
   6.000e+00    5.2477666e+04  4.5329213e+02
   2.400e+01    5.8751488e+04  4.7048148e+02
   8.000e+00    5.3514319e+04  4.5604843e+02
   2.200e+01    5.8217831e+04  4.6896009e+02
   1.000e+01    5.3890803e+04  4.5704752e+02
   2.000e+01    5.7743616e+04  4.6762314e+02
   1.200e+01    5.4702984e+04  4.5925316e+02
   1.800e+01    5.6923387e+04  4.6535643e+02
   1.400e+01    5.5014886e+04  4.6007736e+02
   1.600e+01    5.6009072e+04  4.6274869e+02
   2.800e+01    5.9987291e+04  4.7397220e+02
   1.200e+01    5.4477133e+04  4.5864703e+02
