#
#       Peak Name  Overlap_group
#   M109CE-M109QE              1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000    16.826     2.112
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.6739683e+01  1.6035740e-04 
# w1(Hz)        2.9493320e+01  7.4220519e-02 
# g1            5.8727003e-01  9.8447711e-03 
# f02(ppm)      2.1108812e+00  3.6104224e-05 
# w2(Hz)        2.2062561e+01  7.8384874e-02 
# g2            5.5976226e-02  6.1339036e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.4782015e+03  4.6740850e+01
   2.000e+00    4.9380026e+03  3.4652014e+01
   3.000e+01    5.4591289e+03  3.5781110e+01
   4.000e+00    5.2379019e+03  3.5286309e+01
   2.600e+01    5.4448970e+03  3.5750189e+01
   6.000e+00    5.3260952e+03  3.5496160e+01
   2.200e+01    5.4629675e+03  3.5788253e+01
   8.000e+00    5.3786411e+03  3.5603525e+01
   2.000e+01    5.4599410e+03  3.5784350e+01
   1.000e+01    5.4199805e+03  3.5692183e+01
   1.800e+01    5.4726827e+03  3.5814212e+01
   1.200e+01    5.4583972e+03  3.5780221e+01
   1.600e+01    5.4785515e+03  3.5829893e+01
   1.400e+01    5.4830175e+03  3.5838464e+01
   2.000e+00    4.9487480e+03  3.4672367e+01
   2.600e+01    5.4613581e+03  3.5784628e+01
