#
#       Peak Name  Overlap_group
#   L18CD2-L18QD2              7
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000    22.522     0.759
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      2.2512026e+01  1.6069662e-03 
# w1(Hz)        5.7270586e+01  8.2991128e-01 
# g1           -4.0289124e-01  1.5143121e-02 
# f02(ppm)      7.6796791e-01  2.6177937e-04 
# w2(Hz)        5.0299872e+01  4.6072156e-01 
# g2            7.4650551e-02  1.8726556e-02 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1895479e+05  1.5464073e+03
   2.000e+00    3.0682422e+04  9.3609202e+02
   2.000e+01    7.9945958e+04  1.1523627e+03
   4.000e+00    4.4389673e+04  9.7955745e+02
   1.600e+01    6.2155351e+04  1.0823051e+03
   6.000e+00    5.4055054e+04  1.0372610e+03
   1.400e+01    6.5321916e+04  1.0911045e+03
   8.000e+00    6.4448396e+04  1.0765225e+03
   1.200e+01    5.5147021e+04  1.0597867e+03
   1.000e+01    6.0036298e+04  1.0620335e+03
   2.000e+00    2.2395736e+04  9.3099676e+02
   2.000e+01    6.9635071e+04  1.1102994e+03
