#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1971591e+05  4.5737705e+02
   1.000e+00    7.0826156e+04  3.2472213e+02
   2.000e+01    8.7884782e+04  3.6465996e+02
   2.000e+00    7.4726255e+04  3.3417514e+02
   1.800e+01    8.6674428e+04  3.6168395e+02
   3.000e+00    7.8275707e+04  3.4282720e+02
   1.600e+01    8.7060385e+04  3.6244250e+02
   4.000e+00    8.0107202e+04  3.4612155e+02
   1.400e+01    8.6189657e+04  3.6031046e+02
   5.000e+00    8.0625010e+04  3.4656823e+02
   1.200e+01    8.5700325e+04  3.5930504e+02
   6.000e+00    8.3176131e+04  3.5314549e+02
   1.100e+01    8.5070883e+04  3.5778212e+02
   7.000e+00    8.3821476e+04  3.5497025e+02
   1.000e+01    8.4993457e+04  3.5767461e+02
   8.000e+00    8.4399779e+04  3.5636125e+02
   9.000e+00    8.4674973e+04  3.5736239e+02
   2.000e+01    8.7294442e+04  3.6293980e+02
   2.000e+00    7.5788911e+04  3.3697149e+02
