#
#       Peak Name  Overlap_group
#          24N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   119.032     7.633
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1903623e+02  6.9039967e-05 
# w1(Hz)        9.6839418e+00  1.0769095e-02 
# g1            6.1458236e-01  3.9015314e-03 
# f02(ppm)      7.6341238e+00  1.2402749e-05 
# w2(Hz)        1.7728656e+01  1.7988580e-02 
# g2            8.6200874e-01  4.6275683e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.1879146e+04  1.4725956e+02
   2.600e+01    4.5031316e+04  1.2652664e+02
   2.000e+00    3.8185638e+04  1.1922121e+02
   2.200e+01    4.4706137e+04  1.2616272e+02
   4.000e+00    3.9376830e+04  1.2043613e+02
   2.000e+01    4.4516223e+04  1.2595091e+02
   6.000e+00    4.0793716e+04  1.2191325e+02
   1.800e+01    4.4169557e+04  1.2556569e+02
   8.000e+00    4.2422488e+04  1.2365269e+02
   1.600e+01    4.3770767e+04  1.2512483e+02
   1.000e+01    4.2410565e+04  1.2363980e+02
   1.400e+01    4.3882008e+04  1.2524756e+02
   1.200e+01    4.3905104e+04  1.2527307e+02
   4.000e+00    3.9291907e+04  1.2034870e+02
   2.200e+01    4.4294464e+04  1.2570428e+02
