#
#       Peak Name  Overlap_group
#          37N-HN              8
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   120.535     8.162
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2053980e+02  1.0345292e-04 
# w1(Hz)        9.9321228e+00  1.5005686e-02 
# g1            6.0918504e-01  5.2122337e-03 
# f02(ppm)      8.1624362e+00  1.7948675e-05 
# w2(Hz)        1.7678601e+01  2.6518931e-02 
# g2            6.7079964e-01  6.8725458e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.9869897e+04  1.8580438e+02
   2.600e+01    3.7304433e+04  1.5616675e+02
   2.000e+00    3.2513043e+04  1.4495616e+02
   2.200e+01    3.7147756e+04  1.5558188e+02
   4.000e+00    3.2883915e+04  1.4576058e+02
   2.000e+01    3.7101952e+04  1.5542053e+02
   6.000e+00    3.3899335e+04  1.4786730e+02
   1.800e+01    3.6761417e+04  1.5462390e+02
   8.000e+00    3.4786616e+04  1.4976436e+02
   1.600e+01    3.6765171e+04  1.5443530e+02
   1.000e+01    3.5721679e+04  1.5176998e+02
   1.400e+01    3.6284545e+04  1.5328929e+02
   1.200e+01    3.6339018e+04  1.5312075e+02
   4.000e+00    3.2752448e+04  1.4552863e+02
   2.200e+01    3.7234619e+04  1.5573964e+02
