#
#       Peak Name  Overlap_group
#          12N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   120.011     9.201
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2000346e+02  5.4151309e-05 
# w1(Hz)        9.2402478e+00  7.7037799e-03 
# g1            9.1903036e-01  3.7915882e-03 
# f02(ppm)      9.2013394e+00  1.3747716e-05 
# w2(Hz)        2.2540137e+01  2.0805768e-02 
# g2            7.0303719e-01  3.6297126e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.8468573e+04  3.5774306e+01
   4.000e+01    1.0828001e+04  2.7478986e+01
   2.000e+00    9.6921744e+03  2.6466324e+01
   3.600e+01    1.0765320e+04  2.7421290e+01
   4.000e+00    9.4765813e+03  2.6282601e+01
   3.200e+01    1.0953648e+04  2.7595677e+01
   6.000e+00    9.5298212e+03  2.6327753e+01
   2.800e+01    1.0447143e+04  2.7131216e+01
   8.000e+00    9.7311710e+03  2.6500006e+01
   2.400e+01    1.0501300e+04  2.7180306e+01
   1.000e+01    9.8621277e+03  2.6613388e+01
   2.000e+01    1.0224449e+04  2.6931727e+01
   1.200e+01    9.9080103e+03  2.6653130e+01
   1.600e+01    1.0151097e+04  2.6866552e+01
   3.600e+01    1.0683798e+04  2.7346574e+01
   2.400e+01    1.0417902e+04  2.7104774e+01
   8.000e+00    9.6825319e+03  2.6458357e+01
