#
#       Peak Name  Overlap_group
#          15N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   118.848     8.483
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1884527e+02  3.5878154e-05 
# w1(Hz)        9.0090173e+00  5.0463302e-03 
# g1            9.6724548e-01  2.6547966e-03 
# f02(ppm)      8.4829202e+00  7.5426530e-06 
# w2(Hz)        1.8779588e+01  1.0458991e-02 
# g2            1.0156250e+00  2.8294221e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.9427512e+04  4.3782650e+01
   4.000e+01    2.0808872e+04  3.7289724e+01
   2.000e+00    2.0612754e+04  3.7157087e+01
   3.600e+01    2.0740264e+04  3.7243200e+01
   4.000e+00    2.0979830e+04  3.7405824e+01
   3.200e+01    2.0625796e+04  3.7165684e+01
   6.000e+00    2.0693530e+04  3.7211406e+01
   2.800e+01    2.0503368e+04  3.7083493e+01
   8.000e+00    2.0855024e+04  3.7321287e+01
   2.400e+01    2.0575249e+04  3.7131880e+01
   1.000e+01    2.0869398e+04  3.7330826e+01
   2.000e+01    2.0656199e+04  3.7186575e+01
   1.200e+01    2.0616873e+04  3.7159855e+01
   1.600e+01    2.0575267e+04  3.7132053e+01
   3.600e+01    2.0699815e+04  3.7216104e+01
   2.400e+01    2.0575120e+04  3.7131876e+01
   8.000e+00    2.0734461e+04  3.7239034e+01
