# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.06078e+04
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.2880e+00  1.0806e+02  1.3842e+04  2.2053e+04 
 7.2919e+00  1.0806e+02  2.4477e+04  2.8090e+04 
 7.2958e+00  1.0806e+02  3.5536e+04  3.4424e+04 
 7.2998e+00  1.0806e+02  4.5699e+04  4.0526e+04 
 7.3037e+00  1.0806e+02  5.3887e+04  4.5763e+04 
 7.3076e+00  1.0806e+02  5.9360e+04  4.9481e+04 
 7.3115e+00  1.0806e+02  6.1704e+04  5.1136e+04 
 7.3154e+00  1.0806e+02  6.0831e+04  5.0462e+04 
 7.3193e+00  1.0806e+02  5.7089e+04  4.7570e+04 
 7.3232e+00  1.0806e+02  5.1103e+04  4.2904e+04 
 7.3271e+00  1.0806e+02  4.3638e+04  3.7089e+04 
 7.3310e+00  1.0806e+02  3.5622e+04  3.0782e+04 
 7.3349e+00  1.0806e+02  2.7869e+04  2.4563e+04 
  
 7.2685e+00  1.0811e+02  1.4970e+02  4.9790e+03 
 7.2724e+00  1.0811e+02  1.8229e+02  7.2936e+03 
 7.2763e+00  1.0811e+02  1.3446e+03  1.0529e+04 
 7.2802e+00  1.0811e+02  4.4798e+03  1.4840e+04 
 7.2841e+00  1.0811e+02  1.0619e+04  2.0296e+04 
 7.2880e+00  1.0811e+02  1.9603e+04  2.6823e+04 
 7.2919e+00  1.0811e+02  3.0571e+04  3.4167e+04 
 7.2958e+00  1.0811e+02  4.2411e+04  4.1870e+04 
 7.2998e+00  1.0811e+02  5.3942e+04  4.9293e+04 
 7.3037e+00  1.0811e+02  6.3925e+04  5.5663e+04 
 7.3076e+00  1.0811e+02  7.1201e+04  6.0184e+04 
 7.3115e+00  1.0811e+02  7.4903e+04  6.2198e+04 
 7.3154e+00  1.0811e+02  7.4532e+04  6.1378e+04 
 7.3193e+00  1.0811e+02  7.0361e+04  5.7860e+04 
 7.3232e+00  1.0811e+02  6.3329e+04  5.2185e+04 
 7.3271e+00  1.0811e+02  5.4345e+04  4.5112e+04 
 7.3310e+00  1.0811e+02  4.4590e+04  3.7441e+04 
 7.3349e+00  1.0811e+02  3.5332e+04  2.9877e+04 
 7.3388e+00  1.0811e+02  2.7418e+04  2.2958e+04 
 7.3427e+00  1.0811e+02  2.1117e+04  1.7027e+04 
 7.3467e+00  1.0811e+02  1.6175e+04  1.2229e+04 
 7.3506e+00  1.0811e+02  1.2265e+04  8.5501e+03 
 7.3545e+00  1.0811e+02  9.8208e+03  5.8653e+03 
  
 7.2607e+00  1.0816e+02 -1.2738e+03  2.9248e+03 
 7.2646e+00  1.0816e+02 -2.7350e+02  4.2290e+03 
 7.2685e+00  1.0816e+02  1.5581e+03  6.2053e+03 
 7.2724e+00  1.0816e+02  4.4016e+03  9.0900e+03 
 7.2763e+00  1.0816e+02  8.4345e+03  1.3122e+04 
 7.2802e+00  1.0816e+02  1.3818e+04  1.8496e+04 
 7.2841e+00  1.0816e+02  2.1247e+04  2.5295e+04 
 7.2880e+00  1.0816e+02  3.0935e+04  3.3430e+04 
 7.2919e+00  1.0816e+02  4.2377e+04  4.2582e+04 
 7.2958e+00  1.0816e+02  5.4820e+04  5.2183e+04 
 7.2998e+00  1.0816e+02  6.7305e+04  6.1434e+04 
 7.3037e+00  1.0816e+02  7.8488e+04  6.9373e+04 
 7.3076e+00  1.0816e+02  8.6881e+04  7.5008e+04 
 7.3115e+00  1.0816e+02  9.1279e+04  7.7517e+04 
 7.3154e+00  1.0816e+02  9.0954e+04  7.6496e+04 
 7.3193e+00  1.0816e+02  8.6042e+04  7.2112e+04 
 7.3232e+00  1.0816e+02  7.7576e+04  6.5038e+04 
 7.3271e+00  1.0816e+02  6.6657e+04  5.6224e+04 
 7.3310e+00  1.0816e+02  5.4644e+04  4.6663e+04 
 7.3349e+00  1.0816e+02  4.3104e+04  3.7235e+04 
 7.3388e+00  1.0816e+02  3.3353e+04  2.8613e+04 
 7.3427e+00  1.0816e+02  2.6101e+04  2.1221e+04 
 7.3467e+00  1.0816e+02  2.1246e+04  1.5241e+04 
 7.3506e+00  1.0816e+02  1.7969e+04  1.0656e+04 
 7.3545e+00  1.0816e+02  1.5977e+04  7.3099e+03 
 7.3584e+00  1.0816e+02  1.5153e+04  4.9762e+03 
