#
#       Peak Name  Overlap_group
#        1001N-HN              4
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   115.514     7.946
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1551906e+02  5.9588945e-05 
# w1(Hz)        1.3044191e+01  1.1032794e-02 
# g1            1.3324864e+00  5.3523374e-03 
# f02(ppm)      7.9475980e+00  9.4559744e-06 
# w2(Hz)        2.0286345e+01  1.8320991e-02 
# g2            1.0296242e+00  4.7788078e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.0019685e+04  2.2953871e+02
   4.000e+01    5.9705966e+04  1.9069958e+02
   2.000e+00    5.5200301e+04  1.8313264e+02
   3.600e+01    5.9726933e+04  1.9065524e+02
   4.000e+00    5.5502218e+04  1.8361746e+02
   3.200e+01    5.8682852e+04  1.8896357e+02
   6.000e+00    5.5531234e+04  1.8378317e+02
   2.800e+01    5.8407218e+04  1.8854259e+02
   8.000e+00    5.6191550e+04  1.8477966e+02
   2.400e+01    5.8444903e+04  1.8854240e+02
   1.000e+01    5.6161750e+04  1.8461412e+02
   2.000e+01    5.7682217e+04  1.8727565e+02
   1.200e+01    5.6345952e+04  1.8497810e+02
   1.600e+01    5.6963112e+04  1.8618072e+02
   3.600e+01    5.9719937e+04  1.9064768e+02
   2.400e+01    5.8883039e+04  1.8921818e+02
   8.000e+00    5.6226389e+04  1.8481287e+02
