#
#       Peak Name  Overlap_group
#          15N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   118.841     8.481
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1884149e+02  2.9729919e-05 
# w1(Hz)        1.3029430e+01  6.3915989e-03 
# g1            1.1947709e+00  2.8093808e-03 
# f02(ppm)      8.4808329e+00  4.4930616e-06 
# w2(Hz)        1.9025296e+01  9.8957087e-03 
# g2            9.8554892e-01  2.4642504e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.6324686e+04  9.2975315e+01
   4.000e+01    4.7118898e+04  7.9094597e+01
   2.000e+00    4.6182440e+04  7.8486485e+01
   3.600e+01    4.6670204e+04  7.8802607e+01
   4.000e+00    4.6319075e+04  7.8573166e+01
   3.200e+01    4.6509903e+04  7.8697528e+01
   6.000e+00    4.5830914e+04  7.8258307e+01
   2.800e+01    4.6633894e+04  7.8777895e+01
   8.000e+00    4.5777390e+04  7.8225845e+01
   2.400e+01    4.6583479e+04  7.8744914e+01
   1.000e+01    4.5820060e+04  7.8254225e+01
   2.000e+01    4.6614659e+04  7.8765834e+01
   1.200e+01    4.6005493e+04  7.8372238e+01
   1.600e+01    4.6246608e+04  7.8527133e+01
   3.600e+01    4.6750518e+04  7.8854452e+01
   2.400e+01    4.6549066e+04  7.8723882e+01
   8.000e+00    4.5669255e+04  7.8156239e+01
