#
#       Peak Name  Overlap_group
#          45N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   112.520     7.856
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1252153e+02  4.3267954e-05 
# w1(Hz)        1.3240611e+01  9.3838043e-03 
# g1            1.1515900e+00  3.8903193e-03 
# f02(ppm)      7.8568176e+00  7.0448750e-06 
# w2(Hz)        2.1073502e+01  1.5434504e-02 
# g2            1.0134492e+00  3.5862195e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    5.1967272e+04  1.0109350e+02
   4.000e+01    3.4542831e+04  8.3026213e+01
   2.000e+00    3.4190125e+04  8.2698198e+01
   3.600e+01    3.4756641e+04  8.3222038e+01
   4.000e+00    3.3787936e+04  8.2336814e+01
   3.200e+01    3.4582827e+04  8.3060684e+01
   6.000e+00    3.4198697e+04  8.2709192e+01
   2.800e+01    3.4438742e+04  8.2927014e+01
   8.000e+00    3.4244551e+04  8.2754051e+01
   2.400e+01    3.4272489e+04  8.2769973e+01
   1.000e+01    3.3835677e+04  8.2376339e+01
   2.000e+01    3.3934433e+04  8.2466207e+01
   1.200e+01    3.3213127e+04  8.1818931e+01
   1.600e+01    3.3935909e+04  8.2465832e+01
   3.600e+01    3.4530270e+04  8.3009220e+01
   2.400e+01    3.4280689e+04  8.2784757e+01
   8.000e+00    3.3981996e+04  8.2511965e+01
