#
#       Peak Name  Overlap_group
#          26N-HN              2
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   116.899     7.503
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1689559e+02  7.2000280e-05 
# w1(Hz)        1.0505347e+01  1.0414486e-02 
# g1            8.9995471e-01  4.8655818e-03 
# f02(ppm)      7.5024543e+00  1.2580856e-05 
# w2(Hz)        1.8210842e+01  1.6805355e-02 
# g2            1.1020816e+00  5.0001110e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    4.2777580e+04  1.2212225e+02
   3.000e+01    3.5743191e+04  1.1206633e+02
   2.000e+00    3.2957978e+04  1.0840900e+02
   2.800e+01    3.5510417e+04  1.1175075e+02
   4.000e+00    3.3344746e+04  1.0890524e+02
   2.600e+01    3.5524620e+04  1.1177880e+02
   6.000e+00    3.3453491e+04  1.0904851e+02
   2.400e+01    3.5071415e+04  1.1117947e+02
   8.000e+00    3.3704541e+04  1.0937131e+02
   2.200e+01    3.4850729e+04  1.1088143e+02
   1.000e+01    3.3791857e+04  1.0948921e+02
   2.000e+01    3.4906908e+04  1.1094631e+02
   1.200e+01    3.3909396e+04  1.0964205e+02
   1.800e+01    3.4611791e+04  1.1056720e+02
   1.400e+01    3.4179883e+04  1.0999605e+02
   1.600e+01    3.4292802e+04  1.1014207e+02
   2.800e+01    3.5490024e+04  1.1173161e+02
   1.200e+01    3.3854411e+04  1.0956338e+02
