#
#       Peak Name  Overlap_group
#          40N-HN              4
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   116.999     8.188
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1700998e+02  6.5385403e-05 
# w1(Hz)        9.2120243e+00  8.8240274e-03 
# g1            1.0560303e+00  4.9236046e-03 
# f02(ppm)      8.1872185e+00  1.2123464e-05 
# w2(Hz)        1.7662672e+01  1.5559971e-02 
# g2            1.6067457e+00  8.5259729e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    3.8164371e+04  1.3327486e+02
   3.000e+01    3.3268433e+04  1.2317759e+02
   2.000e+00    3.3301445e+04  1.2324166e+02
   2.800e+01    3.3396099e+04  1.2341762e+02
   4.000e+00    3.3347503e+04  1.2332921e+02
   2.600e+01    3.3300092e+04  1.2322645e+02
   6.000e+00    3.3167163e+04  1.2298984e+02
   2.400e+01    3.3346650e+04  1.2332675e+02
   8.000e+00    3.3151989e+04  1.2293202e+02
   2.200e+01    3.3359606e+04  1.2333987e+02
   1.000e+01    3.3182377e+04  1.2299653e+02
   2.000e+01    3.3391026e+04  1.2340681e+02
   1.200e+01    3.3231168e+04  1.2310775e+02
   1.800e+01    3.3282927e+04  1.2318176e+02
   1.400e+01    3.3191863e+04  1.2299955e+02
   1.600e+01    3.3273544e+04  1.2317430e+02
   2.800e+01    3.3285007e+04  1.2322011e+02
   1.200e+01    3.3322822e+04  1.2327101e+02
