#
#       Peak Name  Overlap_group
#          43N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   109.359     7.071
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.0935787e+02  9.8310357e-05 
# w1(Hz)        1.1763349e+01  1.5172715e-02 
# g1            6.4201564e-01  4.6109032e-03 
# f02(ppm)      7.0756415e+00  1.7965290e-05 
# w2(Hz)        2.2341749e+01  2.5025549e-02 
# g2            1.0831298e+00  6.2845566e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    3.1010546e+04  9.2695998e+01
   3.000e+01    2.2708640e+04  7.9928519e+01
   2.000e+00    1.9063922e+04  7.5076542e+01
   2.800e+01    2.2694788e+04  7.9908761e+01
   4.000e+00    1.9244892e+04  7.5303335e+01
   2.600e+01    2.2695465e+04  7.9912268e+01
   6.000e+00    1.9204400e+04  7.5253159e+01
   2.400e+01    2.2417661e+04  7.9521675e+01
   8.000e+00    1.9594564e+04  7.5749390e+01
   2.200e+01    2.1797557e+04  7.8665017e+01
   1.000e+01    1.9744777e+04  7.5938876e+01
   2.000e+01    2.1507918e+04  7.8269848e+01
   1.200e+01    2.0178704e+04  7.6500586e+01
   1.800e+01    2.1011470e+04  7.7601831e+01
   1.400e+01    2.0409359e+04  7.6803396e+01
   1.600e+01    2.0886115e+04  7.7434919e+01
   2.800e+01    2.2485549e+04  7.9615785e+01
   1.200e+01    2.0277150e+04  7.6629871e+01
