#
#       Peak Name  Overlap_group
#          49N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   121.647     8.310
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2164024e+02  1.4712732e-04 
# w1(Hz)        9.4471914e+00  2.1517523e-02 
# g1            8.0880495e-01  9.3501134e-03 
# f02(ppm)      8.3111876e+00  2.9716555e-05 
# w2(Hz)        1.9057026e+01  4.2092629e-02 
# g2            9.1843487e-01  1.0320162e-02 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    4.1988834e+04  2.5433665e+02
   3.000e+01    3.5680603e+04  2.3816333e+02
   2.000e+00    3.2696160e+04  2.3109953e+02
   2.800e+01    3.5267959e+04  2.3716384e+02
   4.000e+00    3.3172822e+04  2.3219921e+02
   2.600e+01    3.5067425e+04  2.3667904e+02
   6.000e+00    3.3374728e+04  2.3266862e+02
   2.400e+01    3.5099065e+04  2.3675739e+02
   8.000e+00    3.3418895e+04  2.3276864e+02
   2.200e+01    3.4951555e+04  2.3639950e+02
   1.000e+01    3.3897921e+04  2.3389482e+02
   2.000e+01    3.4757497e+04  2.3593713e+02
   1.200e+01    3.3850617e+04  2.3378272e+02
   1.800e+01    3.4690498e+04  2.3577785e+02
   1.400e+01    3.4148665e+04  2.3448853e+02
   1.600e+01    3.4370554e+04  2.3501400e+02
   2.800e+01    3.5555356e+04  2.3786192e+02
   1.200e+01    3.3905615e+04  2.3391710e+02
