#
#       Peak Name  Overlap_group
#          71N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   127.940     7.724
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2792693e+02  3.8405965e-05 
# w1(Hz)        8.8242546e+00  5.1153162e-03 
# g1            1.2483819e+00  3.4761573e-03 
# f02(ppm)      7.7228649e+00  7.6776280e-06 
# w2(Hz)        1.7643877e+01  9.9287462e-03 
# g2            1.4124162e+00  3.9147311e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    4.9682974e+04  1.0284827e+02
   3.000e+01    4.7379942e+04  1.0069462e+02
   2.000e+00    4.7279549e+04  1.0060180e+02
   2.800e+01    4.7404165e+04  1.0071601e+02
   4.000e+00    4.7310464e+04  1.0062927e+02
   2.600e+01    4.7234367e+04  1.0056026e+02
   6.000e+00    4.7361653e+04  1.0067688e+02
   2.400e+01    4.7383830e+04  1.0069845e+02
   8.000e+00    4.7166923e+04  1.0049673e+02
   2.200e+01    4.7246340e+04  1.0057091e+02
   1.000e+01    4.7235323e+04  1.0056105e+02
   2.000e+01    4.7335618e+04  1.0065281e+02
   1.200e+01    4.7308712e+04  1.0062859e+02
   1.800e+01    4.7318731e+04  1.0063777e+02
   1.400e+01    4.7294272e+04  1.0061570e+02
   1.600e+01    4.7470668e+04  1.0077764e+02
   2.800e+01    4.7385393e+04  1.0069876e+02
   1.200e+01    4.7371584e+04  1.0068592e+02
