#
#       Peak Name  Overlap_group
#          44N-HN             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   121.313     7.150
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2131152e+02  4.0713209e-05 
# w1(Hz)        1.3595121e+01  8.5984607e-03 
# g1            1.2962478e+00  3.9451504e-03 
# f02(ppm)      7.1502048e+00  6.1896443e-06 
# w2(Hz)        1.9313545e+01  1.4247365e-02 
# g2            7.9096067e-01  2.9459924e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    8.7340984e+04  1.7997308e+02
   3.000e+01    7.6301614e+04  1.7026261e+02
   2.000e+00    7.4471853e+04  1.6872544e+02
   2.800e+01    7.6596489e+04  1.7051486e+02
   4.000e+00    7.4331339e+04  1.6861543e+02
   2.600e+01    7.6319192e+04  1.7027610e+02
   6.000e+00    7.4720712e+04  1.6893497e+02
   2.400e+01    7.6157255e+04  1.7013849e+02
   8.000e+00    7.5276197e+04  1.6939915e+02
   2.200e+01    7.5982163e+04  1.6999703e+02
   1.000e+01    7.5069078e+04  1.6923030e+02
   2.000e+01    7.5939866e+04  1.6995783e+02
   1.200e+01    7.5733234e+04  1.6978099e+02
   1.800e+01    7.5599585e+04  1.6967201e+02
   1.400e+01    7.5154692e+04  1.6929653e+02
   1.600e+01    7.5326813e+04  1.6944515e+02
   2.800e+01    7.6213030e+04  1.7018564e+02
   1.200e+01    7.5252797e+04  1.6937817e+02
