# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.67100e+06
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.1287e+00  1.2272e+02  7.8835e+04 -7.9704e+03 
 8.1326e+00  1.2272e+02  6.8863e+04 -1.6091e+04 
 8.1365e+00  1.2272e+02  6.8392e+04 -2.8330e+04 
 8.1404e+00  1.2272e+02  7.8237e+04 -4.3509e+04 
 8.1443e+00  1.2272e+02  9.3037e+04 -5.8293e+04 
 8.1482e+00  1.2272e+02  1.0661e+05 -6.8141e+04 
 8.1521e+00  1.2272e+02  1.0901e+05 -6.9502e+04 
 8.1560e+00  1.2272e+02  1.0571e+05 -6.1857e+04 
 8.1599e+00  1.2272e+02  8.3237e+04 -4.8034e+04 
 8.1638e+00  1.2272e+02  3.8080e+04 -3.2541e+04 
 8.1677e+00  1.2272e+02  1.6532e+04 -1.9231e+04 
 8.1716e+00  1.2272e+02  5.4714e+04 -9.9121e+03 
 8.1755e+00  1.2272e+02  1.3738e+05 -4.4534e+03 
  
 8.1092e+00  1.2277e+02  1.4235e+04 -2.8457e+01 
 8.1131e+00  1.2277e+02  1.5566e+05 -1.3911e+02 
 8.1170e+00  1.2277e+02  2.2126e+05 -5.0897e+02 
 8.1209e+00  1.2277e+02  1.8074e+05 -1.5694e+03 
 8.1248e+00  1.2277e+02  1.2752e+05 -4.1809e+03 
 8.1287e+00  1.2277e+02  8.8945e+04 -9.6859e+03 
 8.1326e+00  1.2277e+02  8.1922e+04 -1.9555e+04 
 8.1365e+00  1.2277e+02  8.9995e+04 -3.4428e+04 
 8.1404e+00  1.2277e+02  1.0528e+05 -5.2874e+04 
 8.1443e+00  1.2277e+02  1.2405e+05 -7.0840e+04 
 8.1482e+00  1.2277e+02  1.4740e+05 -8.2807e+04 
 8.1521e+00  1.2277e+02  1.6711e+05 -8.4461e+04 
 8.1560e+00  1.2277e+02  1.7887e+05 -7.5171e+04 
 8.1599e+00  1.2277e+02  1.6401e+05 -5.8373e+04 
 8.1638e+00  1.2277e+02  1.0849e+05 -3.9546e+04 
 8.1677e+00  1.2277e+02  8.4369e+04 -2.3370e+04 
 8.1716e+00  1.2277e+02  1.7910e+05 -1.2046e+04 
 8.1755e+00  1.2277e+02  2.1217e+05 -5.4119e+03 
 8.1794e+00  1.2277e+02  2.0345e+05 -2.1164e+03 
 8.1833e+00  1.2277e+02  1.9361e+05 -7.1700e+02 
 8.1872e+00  1.2277e+02  1.7412e+05 -2.0699e+02 
 8.1911e+00  1.2277e+02  1.5087e+05 -4.7368e+01 
 8.1950e+00  1.2277e+02  1.3244e+05 -4.8333e+00 
  
 8.1014e+00  1.2282e+02 -6.3086e+05  6.3112e+00 
 8.1053e+00  1.2282e+02 -5.1100e+05 -5.7233e-01 
 8.1092e+00  1.2282e+02 -3.2511e+05 -3.5288e+01 
 8.1131e+00  1.2282e+02 -1.5936e+05 -1.7250e+02 
 8.1170e+00  1.2282e+02 -1.1411e+04 -6.3114e+02 
 8.1209e+00  1.2282e+02  9.0258e+04 -1.9462e+03 
 8.1248e+00  1.2282e+02  1.1155e+05 -5.1845e+03 
 8.1287e+00  1.2282e+02  8.3564e+04 -1.2011e+04 
 8.1326e+00  1.2282e+02  6.9278e+04 -2.4249e+04 
 8.1365e+00  1.2282e+02  6.9825e+04 -4.2693e+04 
 8.1404e+00  1.2282e+02  7.5254e+04 -6.5566e+04 
 8.1443e+00  1.2282e+02  8.6351e+04 -8.7845e+04 
 8.1482e+00  1.2282e+02  1.0946e+05 -1.0269e+05 
 8.1521e+00  1.2282e+02  1.4483e+05 -1.0474e+05 
 8.1560e+00  1.2282e+02  1.7998e+05 -9.3216e+04 
 8.1599e+00  1.2282e+02  2.0677e+05 -7.2385e+04 
 8.1638e+00  1.2282e+02  2.1654e+05 -4.9038e+04 
 8.1677e+00  1.2282e+02  2.4255e+05 -2.8980e+04 
 8.1716e+00  1.2282e+02  3.1742e+05 -1.4937e+04 
 8.1755e+00  1.2282e+02  2.7736e+05 -6.7110e+03 
 8.1794e+00  1.2282e+02  2.4777e+05 -2.6244e+03 
 8.1833e+00  1.2282e+02  2.3330e+05 -8.8912e+02 
 8.1872e+00  1.2282e+02  2.1506e+05 -2.5668e+02 
 8.1911e+00  1.2282e+02  1.9103e+05 -5.8738e+01 
 8.1950e+00  1.2282e+02  1.7419e+05 -5.9935e+00 
 8.1989e+00  1.2282e+02  1.6867e+05  5.4322e+00 
 8.2028e+00  1.2282e+02  1.6716e+05  6.8975e+00 
  
 8.0897e+00  1.2286e+02 -5.4637e+05  6.9900e+00 
 8.0936e+00  1.2286e+02 -5.8306e+05  7.8812e+00 
 8.0975e+00  1.2286e+02 -4.0302e+05  8.6731e+00 
 8.1014e+00  1.2286e+02 -4.2755e+05  8.0151e+00 
 8.1053e+00  1.2286e+02 -3.3049e+05 -7.2686e-01 
 8.1092e+00  1.2286e+02 -2.3254e+05 -4.4816e+01 
 8.1131e+00  1.2286e+02 -1.4873e+05 -2.1908e+02 
 8.1170e+00  1.2286e+02 -8.5079e+04 -8.0155e+02 
 8.1209e+00  1.2286e+02  9.6854e+03 -2.4716e+03 
 8.1248e+00  1.2286e+02  5.9130e+04 -6.5843e+03 
 8.1287e+00  1.2286e+02  5.2742e+04 -1.5254e+04 
 8.1326e+00  1.2286e+02  2.2287e+04 -3.0796e+04 
 8.1365e+00  1.2286e+02 -8.1563e+03 -5.4219e+04 
 8.1404e+00  1.2286e+02 -3.7292e+04 -8.3268e+04 
