#
#       Peak Name  Overlap_group
#          37N-HN             12
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   120.535     8.162
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.2053392e+02  3.3861193e-05 
# w1(Hz)        1.0782624e+01  8.6806056e-03 
# g1            4.8407738e-01  2.4108523e-03 
# f02(ppm)      8.1628849e+00  5.6448225e-06 
# w2(Hz)        1.8716853e+01  1.3291553e-02 
# g2            7.7602810e-01  3.1787062e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.1912961e+04  6.4608436e+01
   2.600e+01    2.4770835e+04  4.8250119e+01
   2.000e+00    2.0420763e+04  4.4848131e+01
   2.200e+01    2.4411547e+04  4.7932087e+01
   4.000e+00    2.0400489e+04  4.4823570e+01
   2.000e+01    2.4334408e+04  4.7857248e+01
   6.000e+00    2.0580927e+04  4.4968311e+01
   1.800e+01    2.4082735e+04  4.7635589e+01
   8.000e+00    2.1267859e+04  4.5452491e+01
   1.600e+01    2.4146268e+04  4.7666770e+01
   1.000e+01    2.2159231e+04  4.6116970e+01
   1.400e+01    2.3386711e+04  4.7062998e+01
   1.200e+01    2.2659628e+04  4.6501604e+01
   4.000e+00    2.0180685e+04  4.4679330e+01
   2.200e+01    2.4371109e+04  4.7898426e+01
